date,Tr,scen
2012-08-13,2.1324330271763623,Control
2012-08-14,2.033844582974571,Control
2012-08-15,1.5388532983822951,Control
2012-08-16,2.010610889571558,Control
2012-08-17,2.0667255594159366,Control
2012-08-18,2.071061020397355,Control
2012-08-19,1.851811607057057,Control
2012-08-20,2.076377128889082,Control
2012-08-21,2.062204840391053,Control
2012-08-22,1.3191874049465087,Control
2012-08-23,0.9777416454914576,Control
2012-08-24,1.3149012636311481,Control
2012-08-25,2.1573783912661124,Control
2012-08-26,2.2735693549543456,Control
2012-08-27,1.9131113877384476,Control
2012-08-28,1.8065213394349493,Control
2012-08-29,0.02710442042094603,Control
2012-08-30,0.8667160106334133,Control
2012-08-31,0.8458975950681199,Control
2012-09-01,2.009844043911568,Control
2012-09-02,1.7654636006598163,Control
2012-09-03,1.9851595873448105,Control
2012-09-04,1.937876606592141,Control
2012-09-05,2.061180424404425,Control
2012-09-06,2.0420792246940986,Control
2012-09-07,2.044699996952365,Control
2012-09-08,1.9939639884640845,Control
2012-09-09,1.858833560661757,Control
2012-09-10,1.5742267161133328,Control
2012-09-11,0.1346185025327011,Control
2012-09-12,1.7389859219738617,Control
2012-09-13,1.7178586081751337,Control
2012-09-14,1.7116949968808157,Control
2012-09-15,1.8530433734009537,Control
2012-09-16,1.751298375174155,Control
2012-09-17,1.3997457454194373,Control
2012-09-18,1.1925169424144697,Control
2012-09-19,1.6670372687558046,Control
2012-09-20,1.6860397809471062,Control
2012-09-21,0.47017967636756564,Control
2012-09-22,1.842371697802397,Control
2012-09-23,0.1251002590382353,Control
2012-09-24,1.626065524554277,Control
2012-09-25,1.5661299760877856,Control
2012-09-26,1.3478092689522676,Control
2012-09-27,1.625227276716741,Control
2012-09-28,0.30690278289478756,Control
2012-09-29,0.4935026154460183,Control
2012-09-30,1.2836460967600265,Control
2012-10-01,1.400786795507043,Control
2012-10-02,1.6184710310857136,Control
2012-10-03,0.6561306489392082,Control
2012-10-04,1.6736607196636544,Control
2012-10-05,1.5675406819912503,Control
2012-10-06,0.09756876424529198,Control
2012-10-07,0.7659510512102249,Control
2012-10-08,0.4987777833932017,Control
2012-10-09,0.030329745007812135,Control
2012-10-10,0.8146366117068866,Control
2012-10-11,0.3467187283927985,Control
2012-10-12,0.9697083730425072,Control
2012-10-13,0.9646389551804575,Control
2012-10-14,0.21878254821925386,Control
2012-10-15,0.8461166004239639,Control
2012-10-16,1.4200862662606448,Control
2012-10-17,1.4731882477052576,Control
2012-10-18,1.2846903568826207,Control
