DateTime,Symbol,Amount
2009-02-17T00:00:00.0000000+01:00,H2,-98.35419012
2009-02-17T00:00:00.0000000+01:00,O18,-13.28
2009-03-17T00:00:00.0000000+01:00,H2,-97.58910864
2009-03-17T00:00:00.0000000+01:00,O18,-13.18
2009-04-14T00:00:00.0000000+02:00,H2,-98.34859765
2009-04-14T00:00:00.0000000+02:00,O18,-13.31
2009-05-12T00:00:00.0000000+02:00,O18,-13.81
2009-05-12T00:00:00.0000000+02:00,H2,-101.4434716
2009-06-09T00:00:00.0000000+02:00,O18,-14.19
2009-06-09T00:00:00.0000000+02:00,H2,-104.2588165
2009-07-07T00:00:00.0000000+02:00,H2,-103.0971192
2009-07-07T00:00:00.0000000+02:00,O18,-14.06293206
2009-08-04T00:00:00.0000000+02:00,H2,-101.5582984
2009-08-04T00:00:00.0000000+02:00,O18,-13.84
2009-09-01T00:00:00.0000000+02:00,H2,-101.6735845
2009-09-01T00:00:00.0000000+02:00,O18,-13.9
2009-09-29T00:00:00.0000000+02:00,H2,-101.0807484
2009-09-29T00:00:00.0000000+02:00,O18,-13.86
2009-10-27T00:00:00.0000000+01:00,H2,-101.3830655
2009-10-27T00:00:00.0000000+01:00,O18,-13.92
2009-11-24T00:00:00.0000000+01:00,H2,-97.74752998
2009-11-24T00:00:00.0000000+01:00,O18,-13.48
2009-12-22T00:00:00.0000000+01:00,H2,-99.01689356
2009-12-22T00:00:00.0000000+01:00,O18,-13.38
2010-01-19T00:00:00.0000000+01:00,H2,-99.81267363
2010-01-19T00:00:00.0000000+01:00,O18,-13.72
2010-02-16T00:00:00.0000000+01:00,H2,-101.5040891
2010-02-16T00:00:00.0000000+01:00,O18,-14
2010-03-16T00:00:00.0000000+01:00,H2,-101.4940453
2010-03-16T00:00:00.0000000+01:00,O18,-13.9
2010-04-13T00:00:00.0000000+02:00,H2,-100.0724373
2010-04-13T00:00:00.0000000+02:00,O18,-13.68
2010-05-11T00:00:00.0000000+02:00,H2,-103.5443012
2010-05-11T00:00:00.0000000+02:00,O18,-14.12
2010-06-08T00:00:00.0000000+02:00,H2,-105.1851336
2010-06-08T00:00:00.0000000+02:00,O18,-14.39
2010-07-06T00:00:00.0000000+02:00,H2,-107.0612745
2010-07-06T00:00:00.0000000+02:00,O18,-14.58
2010-08-03T00:00:00.0000000+02:00,H2,-100.5665295
2010-08-03T00:00:00.0000000+02:00,O18,-13.68
2010-08-31T00:00:00.0000000+02:00,H2,-100.7847051
2010-08-31T00:00:00.0000000+02:00,O18,-13.82
2010-09-29T12:00:00.0000000+02:00,H2,-101.2748292
2010-09-29T12:00:00.0000000+02:00,O18,-13.87
2010-10-26T00:00:00.0000000+02:00,H2,-102.7926947
2010-10-26T00:00:00.0000000+02:00,O18,-14.13
2010-11-23T00:00:00.0000000+01:00,H2,-102.9090564
2010-11-23T00:00:00.0000000+01:00,O18,-14.02
2010-12-20T12:00:00.0000000+01:00,H2,-104.4382244
2010-12-20T12:00:00.0000000+01:00,O18,-14.07
2011-01-17T00:00:00.0000000+01:00,H2,-100.46
2011-01-17T00:00:00.0000000+01:00,O18,-13.89
2011-02-14T00:00:00.0000000+01:00,H2,-102.46
2011-02-14T00:00:00.0000000+01:00,O18,-14.3
2011-03-14T00:00:00.0000000+01:00,H2,-99.91
2011-03-14T00:00:00.0000000+01:00,O18,-13.69
2011-04-11T12:00:00.0000000+02:00,H2,-100.07
2011-04-11T12:00:00.0000000+02:00,O18,-13.64
2011-05-09T12:00:00.0000000+02:00,H2,-106.27
2011-05-09T12:00:00.0000000+02:00,O18,-14.24
2011-06-06T00:00:00.0000000+02:00,H2,-105.55
2011-06-06T00:00:00.0000000+02:00,O18,-14.28
2011-07-04T00:00:00.0000000+02:00,O18,-13.83
2011-07-04T00:00:00.0000000+02:00,H2,-99.66
2011-08-01T00:00:00.0000000+02:00,H2,-97.96
2011-08-01T00:00:00.0000000+02:00,O18,-13.54
2011-08-29T00:00:00.0000000+02:00,H2,-100.03
2011-08-29T00:00:00.0000000+02:00,O18,-13.76
2011-09-26T00:00:00.0000000+02:00,H2,-99.71
