date,Tr,Tr_rm,scen
2015-10-01,0.15589161938530846,0.0971672523702339,Control
2015-10-02,0.08554875494916957,0.08565382635207618,Control
2015-10-03,0.1763686255746691,0.11038516298263519,Control
2015-10-04,0.16902377323687484,0.13047016910909007,Control
2015-10-05,9.610652053815065e-7,0.13521724642237726,Control
2015-10-06,0,0.1431374067003646,Control
2015-10-07,0,0.13387097500683,Control
2015-10-08,0,0.12961364980607154,Control
2015-10-09,0,0.14438877853697982,Control
2015-10-10,0.49032131054432065,0.14810896758519387,Control
2015-10-11,0.37476671785959104,0.1554976641322488,Control
2015-10-12,0.16862055954195854,0.1729518086295115,Control
2015-10-13,0.2507949953742678,0.1943645964484781,Control
2015-10-14,0.0028563325642544588,0.2175717475689643,Control
2015-10-15,0.09628906657468993,0.23423410741749914,Control
2015-10-16,0.2924005571818859,0.25695700198496835,Control
2015-10-17,0.22845127224966572,0.24717271270760263,Control
2015-10-18,0.2724655248956438,0.24229830178014344,Control
2015-10-19,0.24435898402688364,0.24998451382662584,Control
2015-10-20,0.2997790294655318,0.2505647613260365,Control
2015-10-21,0.32490011568680705,0.2510252225118207,Control
2015-10-22,0.23327303787948767,0.2508570467456567,Control
2015-10-23,0.3181205239445685,0.24706615724768177,Control
2015-10-24,0.35334126066120086,0.24696950849199031,Control
2015-10-25,0.3065249648751623,0.2481396812017756,Control
2015-10-26,0.27622752819271224,0.25619548170791234,Control
2015-10-27,0.25891846036601684,0.23990402872792657,Control
2015-10-28,0.009302789165233246,0.22044505504354892,Control
2015-10-29,0.09393460584839403,0.212590350335585,Control
2015-10-30,0.23932810421023726,0.19109522996039535,Control
2015-10-31,0.22709818966998518,0.16725656606505648,Control
2015-11-01,0.28884794283263776,0.14590291191663066,Control
2015-11-02,0.35714019111279793,0.12707389384908654,Control
2015-11-03,0.07169868774573113,0.10957011200968039,Control
2015-11-04,0.05247448410552009,0.11096289637504002,Control
2015-11-05,0.12330717196799251,0.10467243342416972,Control
2016-01-01,0.01718883869191331,0.08911004359683432,Control
2016-01-02,0.01959996612645695,0.07383784471708672,Control
2016-01-03,0.007573806797200595,0.05423394777940892,Control
2016-01-04,0.012621275247094872,0.030172438354039117,Control
2016-01-05,0.01386551461433072,0.025744225671754974,Control
2016-01-06,0.02880177028026799,0.02344625214009118,Control
2016-01-07,0.005868124536209608,0.0169092116652781,Control
2016-01-08,0.02145464662754187,0.01578069442638911,Control
2016-01-09,0.013287405353518605,0.014383195919322692,Control
2016-01-10,0.014393385705148597,0.013899847524337686,Control
2016-01-11,0.020279059157620714,0.019388030895891684,Control
2016-01-12,0.009703710193753155,0.020034814415170042,Control
2016-01-13,0.020302854662226973,0.01798655833511415,Control
2016-01-14,0.03178860532060942,0.018799170192682624,Control
2016-01-15,0.0013895973474674166,0.02244266060046901,Control
2016-01-16,3.498702752711246e-5,0.022152890718124485,Control
2016-01-17,8.069292674105019e-4,0.02133787624118911,Control
2016-01-18,0.08945584244885084,0.01997420655041305,Control
2016-01-19,0.02292048388422774,0.02079119551032475,Control
2016-01-20,1.2618515948554918e-4,0.021584375608247098,Control
2016-01-21,0.01724469054216818,0.021168788256584525,Control
2016-01-22,0.07246351233655131,0.02153466879408237,Control
2016-01-23,0.009230627000695235,0.02511393311259449,Control
2016-01-24,0.0029831830280533634,0.02675814584780111,Control
2016-01-25,0.001187683486755882,0.021404427034812414,Control
2016-01-26,0.02114155563251698,0.023484853697021784,Control
2016-01-27,0.03140737603313977,0.026145453835534904,Control
2016-01-28,0.025970382397333455,0.026794936298201694,Control
2016-01-29,0.00651192487243723,0.02244311264103471,Control
2016-01-30,0.05014468748669682,0.025517639985094796,Control
2016-01-31,0.023825907560303148,0.027036299886062088,Control
2016-02-01,0.01450377906700911,0.029058911249308518,Control
