date,meta,depth,SWP,SWPt
2015-08-17,control,10,-12.780000000000001,-12.780000000000001
2015-08-18,control,10,-18.465,-18.465
2015-08-19,control,10,-19.801666666666666,-19.801666666666666
2015-08-20,control,10,-23.10333333333333,-23.10333333333333
2015-08-21,control,10,-28.738333333333333,-28.738333333333333
2015-08-22,control,10,-37.53666666666667,-37.53666666666667
2015-08-23,control,10,-45.06333333333333,-45.06333333333333
2015-08-24,control,10,-50.12166666666667,-50.12166666666667
2015-08-25,control,10,-60.00833333333333,-60.00833333333333
2015-08-26,control,10,-75.70166666666667,-75.70166666666667
2015-08-27,control,10,-96.655,-96.655
2015-08-28,control,10,-135.16333333333333,-135.16333333333333
2015-08-29,control,10,-195.075,-195.075
2015-08-30,control,10,-270.445,-270.445
2015-08-31,control,10,-408.8666666666667,-408.8666666666667
2015-09-01,control,10,-486.65166666666664,-486.62333333333333
2015-09-02,control,10,-517.74,-513.575
2015-09-03,control,10,-581.775,-561.435
2015-09-04,control,10,-656.335,-604.7216666666667
2015-09-05,control,10,-751.3916666666667,-649.5833333333333
2015-09-06,control,10,-841.555,-685.3366666666666
2015-09-07,control,10,-953.0883333333334,-723.1616666666666
2015-09-08,control,10,-1063.7849999999999,-756.7383333333333
2015-09-09,control,10,-1194.7183333333332,-794.3416666666667
2015-09-10,control,10,-1313.1133333333335,-826.0066666666667
2015-09-11,control,10,-1355.4816666666666,-835.9166666666666
2015-09-12,control,10,-1451.3833333333332,-860.2466666666667
2015-09-13,control,10,-1507.6916666666666,-873.3
2015-09-14,control,10,-1119.8483333333334,-704.3983333333333
2015-09-15,control,10,-1006.3516666666667,-662.88
2015-09-16,control,10,-1008.51,-668.1333333333333
2015-09-17,control,10,-974.3833333333333,-666.4083333333333
2015-09-18,control,10,-977.5283333333333,-672.375
2015-09-19,control,10,-961.5033333333333,-680.8083333333334
2015-09-20,control,10,-1001.4016666666666,-711.0416666666666
2015-09-21,control,10,-1035.2866666666666,-739.7883333333333
2015-09-22,control,10,-1104.755,-770.1283333333333
2015-09-23,control,10,-1154.855,-786.3933333333333
2015-09-24,control,10,-1186.7183333333332,-795.62
2015-09-25,control,10,-1262.5333333333333,-816.995
2015-09-26,control,10,-1351.9016666666666,-839.155
2015-09-27,control,10,-1417.5933333333332,-854.2583333333333
2015-09-28,control,10,-1488.3816666666667,-869.9966666666667
2015-09-29,control,10,-1476.0533333333333,-865.3633333333333
2015-09-30,control,10,-1516.0433333333333,-873.4666666666667
2015-10-01,control,10,-1566.3033333333333,-884.6683333333333
2015-10-02,control,10,-1618.435,-895.5033333333333
2015-10-03,control,10,-1662.8366666666666,-905.3816666666667
2015-10-04,control,10,-1713.475,-916.2116666666667
2015-10-05,control,10,-1760.9516666666668,-925.745
2015-10-06,control,10,-1760.075,-924.585
2015-10-07,control,10,-1729.15,-916.5433333333333
2015-10-08,control,10,-1652.6183333333333,-902.3916666666667
2015-10-09,control,10,-1634.1599999999999,-897.62
2015-10-10,control,10,-1598.8616666666667,-889.2533333333333
2015-10-12,control,10,-1574.7583333333334,-884.4366666666666
2015-10-13,control,10,-1624.8116666666667,-894.3916666666667
2015-10-14,control,10,-1563.9383333333333,-880.4966666666667
2015-10-15,control,10,-1528.9883333333332,-872.4816666666667
2015-10-16,control,10,-1466.8883333333333,-857.4383333333333
2015-10-17,control,10,-1447.0416666666665,-852.6216666666667
