date,Treatment,Total_Sap_Flow
2024-07-08,control,0.5988472436346215
2024-07-08,irrigation,1.2232337224612855
2024-07-08,irrigation_vpd,1.1633942745104477
2024-07-08,roof,0.38822259500921413
2024-07-08,roof_vpd,0.39394473232997296
2024-07-09,control,0.6135294168026598
2024-07-09,irrigation,1.2495776345079899
2024-07-09,irrigation_vpd,1.2038938429961525
2024-07-09,roof,0.3617835224834486
2024-07-09,roof_vpd,0.3998703258980213
2024-07-10,control,0.5147458713819328
2024-07-10,irrigation,1.0287836535340051
2024-07-10,irrigation_vpd,0.9600338793501746
2024-07-10,roof,0.2987084358458914
2024-07-10,roof_vpd,0.3290586283742251
2024-07-11,control,0.4493966925974673
2024-07-11,irrigation,0.9095236401906398
2024-07-11,irrigation_vpd,0.9105857042680383
2024-07-11,roof,0.2514488108328815
2024-07-11,roof_vpd,0.27840674693623846
2024-07-12,control,0.12429077560159264
2024-07-12,irrigation,0.18331435087680503
2024-07-12,irrigation_vpd,0.13923316584730186
2024-07-12,roof,0.08894811289855109
2024-07-12,roof_vpd,0.08089714405044082
2024-07-13,control,0.6457105093714925
2024-07-13,irrigation,1.1839283612669023
2024-07-13,irrigation_vpd,1.1093062581459836
2024-07-13,roof,0.4475474765366215
2024-07-13,roof_vpd,0.44089768676901786
2024-07-14,control,0.6034450823230513
2024-07-14,irrigation,1.122342967161343
2024-07-14,irrigation_vpd,1.0653156520983178
2024-07-14,roof,0.4076979242554401
2024-07-14,roof_vpd,0.39690301216454205
2024-07-15,control,0.6209553104920396
2024-07-15,irrigation,1.1212180568431698
2024-07-15,irrigation_vpd,1.0981195120785137
2024-07-15,roof,0.377859153995196
2024-07-15,roof_vpd,0.39224043122151964
2024-07-16,control,0.623879912868189
2024-07-16,irrigation,1.1119601146742137
2024-07-16,irrigation_vpd,1.036051074348413
2024-07-16,roof,0.4458999888339965
2024-07-16,roof_vpd,0.40954054685293706
2024-07-17,control,0.7097157614651849
2024-07-17,irrigation,1.2358645517832008
2024-07-17,irrigation_vpd,1.1642727029667157
2024-07-17,roof,0.49978491477229436
2024-07-17,roof_vpd,0.4689519539160271
2024-07-18,control,0.7384245034609574
2024-07-18,irrigation,1.228407332158696
2024-07-18,irrigation_vpd,1.1874679097445375
2024-07-18,roof,0.48302207897177857
2024-07-18,roof_vpd,0.47861073221803696
2024-07-19,control,0.7044443679742926
2024-07-19,irrigation,1.1276096311186485
2024-07-19,irrigation_vpd,1.109268668873355
2024-07-19,roof,0.43991927039781414
2024-07-19,roof_vpd,0.45189917307297695
2024-07-20,control,0.6906184506471184
2024-07-20,irrigation,1.0583311668720474
2024-07-20,irrigation_vpd,1.0920926846399197
2024-07-20,roof,0.38322658411451077
2024-07-20,roof_vpd,0.4328384110745371
2024-07-21,control,0.3704427202855744
2024-07-21,irrigation,0.5793707691027665
2024-07-21,irrigation_vpd,0.5457230040219533
2024-07-21,roof,0.23615914524561846
2024-07-21,roof_vpd,0.22390457233557945
2024-07-22,control,0.6539068045572181
2024-07-22,irrigation,1.0001411292783784
2024-07-22,irrigation_vpd,0.9867083308723485
2024-07-22,roof,0.37262245632366753
