date,scenario,sf
2011-06-29,irrigation stop,55.422935891
2011-06-30,control,41.08963608233333
2011-06-30,irrigation stop,61.055229813416666
2011-07-01,control,39.25462397833333
2011-07-01,irrigation stop,60.8592923815
2011-07-02,control,42.87340828175
2011-07-02,irrigation stop,65.41412665891667
2011-07-03,control,38.746742711500005
2011-07-03,irrigation stop,60.28927853966667
2011-07-04,control,40.11156210125
2011-07-04,irrigation stop,65.67758583366667
2011-07-05,control,34.65506978766667
2011-07-05,irrigation stop,62.45606762483334
2011-07-06,control,28.705402346666666
2011-07-06,irrigation stop,55.01993290716666
2011-07-07,control,27.124987493583333
2011-07-07,irrigation stop,48.32997782983333
2011-07-08,control,34.59639273683334
2011-07-08,irrigation stop,55.38156584658333
2011-07-09,control,31.40156324625
2011-07-09,irrigation stop,49.36912052858334
2011-07-10,control,42.60483103991667
2011-07-10,irrigation stop,63.55210730266667
2011-07-11,control,41.552914064583334
2011-07-11,irrigation stop,62.871074964416664
2011-07-12,control,2.2657408231666665
2011-07-12,irrigation stop,2.0467031738333334
2011-07-13,control,32.37171659883333
2011-07-13,irrigation stop,49.16175583441667
2011-07-14,control,45.998750406
2011-07-14,irrigation stop,61.891275317083334
2011-07-15,control,44.00602892016667
2011-07-15,irrigation stop,58.4484752575
2011-07-16,control,5.974239823583334
2011-07-16,irrigation stop,11.337479306583333
2011-07-17,control,40.09215979825
2011-07-17,irrigation stop,52.884895357666664
2011-07-18,control,14.465086444250002
2011-07-18,irrigation stop,23.5718972395
2011-07-19,control,29.85862964358333
2011-07-19,irrigation stop,44.69635495275
2011-07-20,control,34.52592694608334
2011-07-20,irrigation stop,48.13068311683334
2011-07-21,control,43.786789939833334
2011-07-21,irrigation stop,56.231065718500005
2011-07-22,control,29.427780486833335
2011-07-22,irrigation stop,41.49921319525
2011-07-23,control,35.578481927750005
2011-07-23,irrigation stop,50.79094808325
2011-07-24,control,39.27013280758334
2011-07-24,irrigation stop,54.065196265666664
2011-07-25,control,34.8528454995
2011-07-25,irrigation stop,48.04674006416667
2011-07-26,control,28.222663362416668
2011-07-26,irrigation stop,39.23303932425
2011-07-27,control,26.983157141166664
2011-07-27,irrigation stop,33.60652686416667
2011-07-28,control,38.62016325325
2011-07-28,irrigation stop,47.94080516466666
2011-07-29,control,37.03664866108333
2011-07-29,irrigation stop,45.88645511033333
2011-07-30,control,37.52191433708333
2011-07-30,irrigation stop,46.90481325666667
2011-07-31,control,36.64795392391666
2011-07-31,irrigation stop,44.860973986000005
2011-08-01,control,35.47834836608334
2011-08-01,irrigation stop,41.56988198733333
2011-08-02,control,21.224426107166664
2011-08-02,irrigation stop,25.751651216583333
2011-08-03,control,35.315232141500005
2011-08-03,irrigation stop,38.76621695441666
2011-08-04,control,30.083790569833333
2011-08-04,irrigation stop,31.876144001833335
2011-08-05,control,27.039228280666666
2011-08-05,irrigation stop,27.819530993083333
2011-08-06,control,6.729357224749999
2011-08-06,irrigation stop,9.79235940925
2011-08-07,control,11.384628939083333
2011-08-07,irrigation stop,14.619090224416667
2011-08-08,control,9.38857588175
2011-08-08,irrigation stop,10.30757056
2011-08-09,control,16.9547628965
2011-08-09,irrigation stop,20.17549126275
2011-08-10,control,11.379714238416668
2011-08-10,irrigation stop,12.480653489749999
2011-08-11,control,11.310087428
2011-08-11,irrigation stop,11.87902893875
2011-08-12,control,33.00117018491667
2011-08-12,irrigation stop,21.44034315658333
2011-08-13,control,23.286941428916666
2011-08-13,irrigation stop,13.840545856166667
2011-08-14,control,23.293540519750003
2011-08-14,irrigation stop,15.7783291205
2011-08-15,control,33.596043819416664
2011-08-15,irrigation stop,19.024803423916666
2011-08-16,control,33.53904544591666
2011-08-16,irrigation stop,17.393722320000002
2011-08-17,control,31.010724786583335
2011-08-17,irrigation stop,14.4193146495
2011-08-18,control,29.475171297499998
2011-08-18,irrigation stop,13.709652225083333
2011-08-19,control,35.217129149
2011-08-19,irrigation stop,16.26909899
2011-08-20,control,33.8993262665
2011-08-20,irrigation stop,14.403960904666667
2011-08-21,control,32.67136724066667
2011-08-21,irrigation stop,13.993261209166665
2011-08-22,control,31.36909321141667
2011-08-22,irrigation stop,12.766109660249999
2011-08-23,control,30.911252564583336
2011-08-23,irrigation stop,12.559475112416667
2011-08-24,control,28.045652405333335
2011-08-24,irrigation stop,14.234646466833333
2011-08-25,control,28.5111309885
2011-08-25,irrigation stop,14.195614306416667
2011-08-26,control,23.16668035925
2011-08-26,irrigation stop,20.187086244083332
2011-08-27,control,30.436551046250003
2011-08-27,irrigation stop,31.3581396995
2011-08-28,control,32.589839225333336
2011-08-28,irrigation stop,38.274381978916665
2011-08-29,control,31.588322168916665
2011-08-29,irrigation stop,37.64468039491666
2011-08-30,control,33.28597548058333
