dates,treatment,VPD,tmax,tmin,tmean,Es,Ea
2024-12-24,control,0.04056200925925926,0.39902666666666664,-2.442336666666667,-0.7768672222222224,0.5787900993111434,0.5382280900518842
2024-12-24,irrigation_vpd,0.05616610416666667,0.64098,-2.21844,-0.5312457916666667,0.5890252792655903,0.5328591750989237
2024-12-25,control,0.0158963125,-1.96295,-5.0194133333333335,-3.39576699537037,0.4767924389205026,0.4608961264205026
2024-12-25,irrigation_vpd,0.029841083333333334,-1.186773,-4.882946,-2.961899229166667,0.4926711736907931,0.46283009035745976
2024-12-26,control,0.006343627314814815,-2.0854866666666667,-4.427566666666666,-3.1785190486111112,0.48420516340953396,0.4778615360947191
2024-12-26,irrigation_vpd,0.014385555555555556,-0.9455,-4.141893,-2.4222542847222224,0.5122389487573341,0.49785339320177857
2024-12-27,control,0.0044203958333333335,-0.36162,-3.2731333333333335,-1.9715302777777777,0.5298809015996232,0.5254605057662899
2024-12-27,irrigation_vpd,0.017427430555555557,1.365327,-2.778893,-1.1238870625000001,0.5642761100762099,0.5468486795206543
2024-12-28,control,0.007396317129629629,-0.35390666666666665,-2.7248666666666668,-1.7381879861111111,0.538713221780224,0.5313169046505943
2024-12-28,irrigation_vpd,0.03781065277777778,1.444947,-2.1384,-0.6746976111111112,0.5828276855793371,0.5450170328015593
2024-12-29,control,0.009446972222222221,-0.061976666666666666,-2.665906666666667,-1.537658888888889,0.5467800801531754,0.5373331079309532
2024-12-29,irrigation_vpd,0.057905041666666664,2.54268,-1.691833,-0.2010008472222223,0.6036858457574344,0.5457808040907678
2024-12-30,control,0.015655641203703705,-0.25837666666666664,-2.3895466666666665,-1.6096434375,0.5436876061891975,0.5280319649854939
2024-12-30,irrigation_vpd,0.09427904861111112,2.355613,-1.83394,0.04557856250000014,0.6149030744055304,0.5206240257944192
2024-12-31,control,0.030033668981481482,-0.35775666666666667,-2.8864533333333333,-1.6422016435185185,0.5426767509158407,0.5126430819343593
2024-12-31,irrigation_vpd,0.12070265972222222,2.51294,-1.95222,-0.015613534722222187,0.6124422440530886,0.4917395843308663
2025-01-01,control,0.052512664351851854,0.02189,-3.02751,-1.620931048611111,0.5437960801029029,0.49128341575105106
2025-01-01,irrigation_vpd,0.14196695833333334,3.1292,-2.15546,-0.14643754166666656,0.6071712431427236,0.46520428480939024
