dates,treatment,VPD,tmax,tmin,tmean
2024-01-14,irrigation_vpd,0.1646366712962963,2.3346666666666667,-5.649666666666667,-1.735917824074074
2024-01-14,roof,0.15954479467592592,2.5413333333333332,-5.851666666666667,-1.7777775462962964
2024-01-14,roof_vpd,0.15506251041666666,2.320333333333333,-5.847,-1.8350895833333334
2024-01-15,control,0.08570274976851852,4.003666666666667,-1.1303333333333334,1.2296569444444445
2024-01-15,irrigation,0.0813152125,3.933333333333333,-1.0856666666666666,1.167420138888889
2024-01-15,irrigation_vpd,0.08540963518518518,4.020333333333333,-1.0853333333333333,1.2115599537037036
2024-01-15,roof,0.07933404652777777,3.9433333333333334,-1.1686666666666667,1.1521976851851852
2024-01-15,roof_vpd,0.07698643032407407,3.965,-1.15,1.1459280092592592
2024-01-16,control,0.12261546550925925,2.5803333333333334,-3.8116666666666665,-0.5926032407407408
2024-01-16,irrigation,0.12049961851851852,2.4956666666666667,-3.7026666666666666,-0.6011997685185185
2024-01-16,irrigation_vpd,0.12471439351851851,2.521,-3.6823333333333332,-0.5683939814814815
2024-01-16,roof,0.1201454,2.634333333333333,-3.8633333333333333,-0.6025326388888889
2024-01-16,roof_vpd,0.11572499907407408,2.5686666666666667,-3.865666666666667,-0.652549074074074
2024-01-17,control,0.04360633125,6.02,0.8463333333333334,3.382147916666667
2024-01-17,irrigation,0.03919231990740741,5.881,0.8586666666666667,3.3559756944444445
2024-01-17,irrigation_vpd,0.040989472453703706,5.943,0.8213333333333334,3.3702252314814816
2024-01-17,roof,0.04146546875,6.093666666666667,0.8286666666666667,3.3917127314814817
2024-01-17,roof_vpd,0.03588036967592593,5.963666666666667,0.7976666666666666,3.343605787037037
2024-01-18,control,0.013107773611111111,6.025333333333333,1.984,4.5384768518518515
2024-01-18,irrigation,0.009671689583333334,6.026,1.9643333333333333,4.518928935185185
2024-01-18,irrigation_vpd,0.01177129513888889,6.023,2.006,4.535297453703704
2024-01-18,roof,0.010272818055555556,6.060666666666667,1.888,4.52268912037037
2024-01-18,roof_vpd,0.008607605787037037,6.038333333333333,1.9446666666666668,4.519803472222222
2024-01-19,control,0.11989273194444444,2.0496666666666665,-4.5616666666666665,-0.48740972222222223
2024-01-19,irrigation,0.1153438826388889,1.9883333333333333,-4.482,-0.5204981481481481
2024-01-19,irrigation_vpd,0.1225871361111111,2.062,-4.3293333333333335,-0.44604351851851853
2024-01-19,roof,0.11554859537037038,1.967,-4.511333333333333,-0.5385231481481482
2024-01-19,roof_vpd,0.11359670208333333,2.0443333333333333,-4.651,-0.5410833333333334
2024-01-20,control,0.11561026643518518,-1.8673333333333333,-7.317666666666667,-4.634341203703704
2024-01-20,irrigation,0.11376711180555556,-1.8976666666666666,-7.262666666666667,-4.627963888888889
2024-01-20,irrigation_vpd,0.12110345300925926,-1.888,-7.210666666666667,-4.555267361111111
2024-01-20,roof,0.11501728101851852,-1.725,-7.3533333333333335,-4.627781944444444
2024-01-20,roof_vpd,0.10840017731481481,-1.8513333333333333,-7.419,-4.735720601851852
2024-01-21,control,0.1653579701388889,2.196,-5.577333333333334,-2.1094726851851853
2024-01-21,irrigation,0.16420020185185186,2.12,-5.459666666666667,-2.086531712962963
2024-01-21,irrigation_vpd,0.17032649375,2.1976666666666667,-5.404,-2.0290439814814816
2024-01-21,roof,0.16471094421296295,2.3906666666666667,-5.612333333333333,-2.0941798611111113
2024-01-21,roof_vpd,0.15822125532407408,2.1853333333333333,-5.688,-2.192966203703704
2024-01-22,control,0.18459918773148148,7.095,-2.6336666666666666,1.8692983796296296
2024-01-22,irrigation,0.18071515625,6.9896666666666665,-2.552,1.8427655092592592
2024-01-22,irrigation_vpd,0.18643604398148148,7.154,-2.4663333333333335,1.882342824074074
2024-01-22,roof,0.18545199699074075,7.297,-2.646,1.9014925925925925
2024-01-22,roof_vpd,0.179789275,7.203333333333333,-2.691666666666667,1.8347953703703703
2024-01-23,control,0.12142762662037038,7.547,2.6933333333333334,4.857782407407408
2024-01-23,irrigation,0.11111497175925926,7.475333333333333,2.5653333333333332,4.771262962962963
2024-01-23,irrigation_vpd,0.11536983125,7.573,2.686,4.802434259259259
2024-01-23,roof,0.11727893726851851,7.518666666666666,2.5446666666666666,4.836465972222222
2024-01-23,roof_vpd,0.11033632337962963,7.520333333333333,2.4743333333333335,4.792141666666667
2024-01-24,control,0.17202986550925925,11.515333333333333,2.7913333333333332,7.5206888898148145
2024-01-24,irrigation,0.15936263287037036,11.495333333333333,2.844666666666667,7.433536809027777
2024-01-24,irrigation_vpd,0.1682807310185185,11.565,2.828666666666667,7.491779401157407
2024-01-24,roof,0.1665204175925926,11.467,2.778,7.5131974581018515
2024-01-24,roof_vpd,0.16109545810185186,11.505333333333333,2.778,7.479615971296297
2024-01-25,control,0.28838481574074076,13.230666666666666,3.6323333333333334,8.961565508796296
2024-01-25,irrigation,0.2792422752314815,13.194333333333333,3.628,8.884776399305556
2024-01-25,irrigation_vpd,0.2945926100694444,13.308666666666667,3.936,9.04056760462963
2024-01-25,roof,0.27906592314814815,13.233,3.2703333333333333,8.882018070601852
2024-01-25,roof_vpd,0.27268184050925925,13.237,3.3253333333333335,8.849827315277778
2024-01-26,control,0.11638250810185186,9.468,1.467,5.922698149537037
2024-01-26,irrigation,0.10925417060185186,9.411,1.626,5.870423151157407
2024-01-26,irrigation_vpd,0.11418157245370371,9.381333333333334,1.7036666666666667,5.916666438888889
2024-01-26,roof,0.1093321449074074,9.385333333333334,1.3323333333333334,5.832757643055555
2024-01-26,roof_vpd,0.10445198935185185,9.375333333333334,1.366,5.826799539583333
2024-01-27,control,0.08853896782407407,6.409666666666666,1.0013333333333334,4.053294907407407
2024-01-27,irrigation,0.07860981087962964,6.246666666666667,0.93,3.965160648148148
2024-01-27,irrigation_vpd,0.08500107175925926,6.275333333333333,1.2763333333333333,4.061543518518518
2024-01-27,roof,0.07512430925925925,6.257666666666666,0.979,3.8985030092592594
2024-01-27,roof_vpd,0.0663160699074074,6.3053333333333335,0.835,3.821459490740741
2024-01-28,control,0.28132985833333335,6.466666666666667,-0.7413333333333333,2.693902083333333
2024-01-28,irrigation,0.27777167546296294,6.533333333333333,-0.7093333333333334,2.6509407407407406
2024-01-28,irrigation_vpd,0.2894478337962963,6.624,-0.8126666666666666,2.7956655092592593
2024-01-28,roof,0.26994749606481483,6.502666666666666,-0.939,2.5861046296296295
2024-01-28,roof_vpd,0.2585653175925926,6.342666666666667,-0.9586666666666667,2.449119212962963
2024-01-29,control,0.2989774509259259,9.153,1.1716666666666666,4.252851851157407
2024-01-29,irrigation,0.29848631851851853,8.889333666666667,1.3006666666666666,4.248668987037037
2024-01-29,irrigation_vpd,0.3109754314814815,8.935000333333333,1.386,4.359309720833333
2024-01-29,roof,0.2982328636574074,9.113000333333334,1.0883333333333334,4.230156256944444
2024-01-29,roof_vpd,0.28955770300925926,9.117333333333333,1.179,4.16191295925926
2024-01-30,control,0.21815154583333332,8.434333,0.9723333333333334,3.7655898157407406
2024-01-30,irrigation,0.2153034361111111,8.141666333333333,1.019,3.749674075462963
2024-01-30,irrigation_vpd,0.22430906875,8.164666666666667,1.1586666666666667,3.841836571990741
2024-01-30,roof,0.21471573981481482,8.304,0.8713333333333333,3.7245527752314813
2024-01-30,roof_vpd,0.20721668078703703,8.294667,0.862,3.6701925983796295
2024-01-31,control,0.20427700694444445,8.669333,-0.577,3.350798150462963
2024-01-31,irrigation,0.19903464282407407,8.518000333333333,-0.3943333333333333,3.2919159747685187
2024-01-31,irrigation_vpd,0.2092879247685185,8.437333666666667,-0.37033333333333335,3.4325162030092593
2024-01-31,roof,0.19773510185185186,8.703666666666667,-0.558,3.286852776388889
2024-01-31,roof_vpd,0.18986051689814815,8.594667,-0.5786666666666667,3.2131375025462963
2024-02-01,control,0.14477881666666667,7.235666666666667,-0.5296666666666666,3.0504641203703704
