Date,TreeNr,Time,LWP1_bar,LWP2_bar,LWP3_bar,Method,LWP_mean,TWD,gs,sapflow,PRI,SMP_1cm,SMP_20cm,SMP_80cm,SMP_110cm,SMP_160cm,SMP_mean,VPD_kPa,pd_md
2022-07-11,3,04:34:00,26,27,27,unbagged,26.7,350,,,,-2806.9,-1222.2,-1301,-1413.8,-1294.8,-1352.9,0.747298931,pd
2022-07-11,3,13:27:00,32,33,33,unbagged,32.7,365,79.5,4.2,,-3299,-1212.9,-1304.8,-1421.5,-1293.6,-1368.3,2.22042274,md
2022-08-13,3,13:30:00,41,46,46,bagged,44.3,380,25.1,4,,-6143.1,-1437.1,-1532.4,-1760,-1554.2,-1710.6,3.22216803,md
2022-08-13,3,04:20:00,39,40,41,unbagged,40,388,,,,-5075.2,-1456.6,-1534.7,-1768.2,-1550.9,-1684.8,1.104742965,pd
2022-08-13,3,13:24:00,43,44,46,unbagged,44.3,380,25.1,4,,-6143.1,-1437.1,-1532.4,-1760,-1554.2,-1710.6,3.22216803,md
2022-11-02,3,11:30:00,20,21,26,unbagged,22.3,,,,,-20.5,-21.1,-1221.8,-920.4,-628.1,-659.9,,md
2021-06-01,8,07:32:00,6,6,8,bagged,6.7,,,,,,,,,,,0.630923861,md
2021-06-01,8,09:36:00,8,8,7,bagged,7.7,,,,,,,,,,,0.864822378,md
2021-06-01,8,11:58:00,8,8,8,bagged,8,133,252,7.6,-37,-49.7,-16.6,-14.9,-16.5,-17.1,-17.3,2.137439636,md
2021-06-01,8,14:44:00,8,11,9,bagged,9.3,,,,,-51,-16.7,-15,-16.6,-18.2,-17.6,2.648045904,md
2021-06-01,8,17:24:00,7,8,8,bagged,7.7,,,,,-53.2,-16.9,-15.1,-16.9,-20.4,-18.2,2.283426496,md
2021-06-01,8,03:10:00,3,4,4,unbagged,3.7,108,,,,-54.7,-17,-15.2,-17,-21.3,-18.5,0.808753875,pd
2021-06-01,8,07:31:00,9,10,10,unbagged,9.7,,,,,-49.1,-16.5,-14.9,-16.4,-16.8,-17.1,0.630923861,md
2021-06-01,8,09:32:00,13,12,15,unbagged,13.3,,,,,-49.7,-16.6,-14.9,-16.5,-17.1,-17.3,0.864822378,md
2021-06-01,8,11:50:00,12,12,15,unbagged,13,133,252,7.6,-37,-51,-16.7,-15,-16.6,-18.2,-17.6,2.137439636,md
2021-06-01,8,14:38:00,12,15,16,unbagged,14.3,,,,,-53.2,-16.9,-15.1,-16.9,-20.4,-18.2,2.648045904,md
2021-06-01,8,17:20:00,13,13,15,unbagged,13.7,,,,,-54.7,-17,-15.2,-17,-21.3,-18.5,2.283426496,md
2021-07-21,8,08:40:00,6,7,7,bagged,6.7,,,,,-49.8,-18.8,-86.2,-181.6,-221.6,-115.3,0.840735982,md
2021-07-21,8,12:03:00,8,9,10,bagged,9,202,318.8,8.1,16,-53.7,-19.6,-87.7,-184.1,-232.8,-118.8,1.771851724,md
2021-07-21,8,14:46:00,8,8,9,bagged,8.3,,,,,-56.8,-20.1,-89,-186.3,-243.1,-121.8,2.298493481,md
2021-07-21,8,16:46:00,9,9,12,bagged,10,,,,,-60,-20.5,-89.6,-189.1,-252.4,-124.6,2.287959809,md
