date,sensor_loc,TWD_pd,TWD_md,MDS,TWD_pdn,MDS_norm,LWP_md,LWP_pd,year,month
2021-08-26,root,73.235349,114.827590125,41.592241125,0.7512779750300631,0.4000771116716768,,,2021,8
2021-08-26,stem,202.94776433333334,290.93427916666667,87.98651483333333,1.544822680644537,0.6588934334929707,-2.4500125011692644,-0.8229136874404437,2021,8
2021-08-27,root,93.899381875,140.614573875,46.715192,0.9450315735145451,0.44956338022277886,,,2021,8
2021-08-27,stem,237.81265233333335,313.1184768333333,75.30582449999999,1.8097946790215897,0.5638578882713318,-2.5854175625433804,-1.2001669620335613,2021,8
2021-08-28,root,108.17647062500001,144.13347875,35.957008125,1.0732165996408585,0.35651049317483,,,2021,8
2021-08-28,stem,242.2867505,306.2875838333333,64.00083333333333,1.8459240504273395,0.47897145405965086,-2.5422128299673,-1.2488509169706576,2021,8
2021-08-29,root,115.643257875,159.460267375,43.817009500000005,1.1453140100497445,0.43183103449697585,,,2021,8
2021-08-29,stem,244.2108108333333,319.28787866666664,75.07706783333333,1.8606804235776166,0.5601352221068032,-2.6253451195824384,-1.269942120144155,2021,8
2021-08-30,root,124.16245225,165.84160175,41.6791495,1.2293119857741885,0.4068107721658548,,,2021,8
2021-08-30,stem,243.41245516666666,317.71469816666666,74.30224299999999,1.8550877028067896,0.5564816323735304,-2.6165538484709834,-1.2612517332149242,2021,8
2021-08-31,root,132.285585875,185.736224,53.450638125,1.304159087329076,0.523057071993169,,,2021,8
2021-08-31,stem,250.07628716666667,338.0255965,87.94930933333333,1.906094550159232,0.6562990912828677,-2.743026983593424,-1.3314901087015243,2021,8
2021-09-01,root,146.287053625,201.327386,55.040332375,1.4347554108075224,0.5433800028311676,,,2021,9
2021-09-01,stem,260.8626966666667,354.87467133333337,94.01197466666667,1.9878320469547437,0.7050247764752567,-2.848847736501029,-1.4454779738784425,2021,9
2021-09-02,root,157.463342,214.588902125,57.125560125,1.5441265880407984,0.5531837552003676,,,2021,9
2021-09-02,stem,265.943075,367.3246445,101.3815695,2.026832355920817,0.7618699566405632,-2.9255312926497417,-1.5005174334149702,2021,9
2021-09-03,root,177.239559875,216.466763875,39.227204,1.7384323164960858,0.3743853075132561,,,2021,9
2021-09-03,stem,287.4986796666667,362.6845565,75.18587683333332,2.1928983064140617,0.5599148628972433,-2.895646164254063,-1.7386363326285046,2021,9
2021-09-04,root,183.375523,210.951795875,27.576272875,1.794407598567354,0.2650760903293433,,,2021,9
2021-09-04,stem,282.09754983333335,339.16152116666666,57.063971333333335,2.1513326613914363,0.43060022351039223,-2.7495550198878256,-1.679117396863604,2021,9
2021-09-05,root,184.44800975,240.637661375,56.189651624999996,1.8009953683679372,0.5389427017697644,,,2021,9
2021-09-05,stem,275.5982095,377.3574893333333,101.75927983333334,2.1045046760131063,0.7643970678048606,-2.9891042004543182,-1.6070653971158633,2021,9
2021-09-06,root,211.9758615,258.019883375,46.044021875,2.065653310942511,0.4326995222541463,,,2021,9
2021-09-06,stem,312.649878,393.9309835,81.28110550000001,2.385722507486607,0.6119570443690943,-3.0902315652436396,-2.0185456220290683,2021,9
2021-09-07,root,236.649299375,275.56923575,38.919936375000006,2.300232839252429,0.3567648687642131,,,2021,9
2021-09-07,stem,330.56874,404.08249333333333,73.51375333333334,2.5257145490514126,0.550464505987352,-3.152974219006589,-2.2133537205806633,2021,9
2021-09-08,root,257.63519025,292.91442,35.27922975000001,2.4867842984804964,0.3325654778958848,,,2021,9
2021-09-08,stem,342.770446,417.2278675,74.4574215,2.6176863516242905,0.5612519214088679,-3.2338978068565662,-2.3445189994385816,2021,9
2021-09-09,root,279.235929375,317.67771700000003,38.441787625,2.6938618021233025,0.35270134151874644,,,2021,9
2021-09-09,stem,367.64606,428.5126936666667,60.86663366666668,2.81044300524871,0.4526190858093577,-3.3028196353125474,-2.6180611659017528,2021,9
2021-09-10,root,271.156423125,286.6746815,15.518258374999998,2.5984465819576816,0.14698900691877037,,,2021,9
2021-09-10,stem,304.6079985,348.6468888333333,44.038890333333335,2.335267777249366,0.3242646187543691,-2.8068832437775697,-1.920745966535198,2021,9
2021-09-11,root,238.414297125,291.5786235,53.164326375,2.2863218087808113,0.5123199444681268,,,2021,9
2021-09-11,stem,244.3024625,357.1669505,112.864488,1.8744769350180157,0.8447255620595445,-2.8620253831374867,-1.2546942172346878,2021,9
2021-09-12,root,275.262910125,309.49235075,34.229440624999995,2.64575509688411,0.31499863175030884,,,2021,9
2021-09-12,stem,312.113008,381.56191866666666,69.44891066666668,2.3822758659955716,0.5230421961701387,-3.0158325280552205,-2.0082840058001583,2021,9
2021-09-13,root,296.908114875,328.662104,31.753989125,2.8471984903640983,0.2915942347369436,,,2021,9
2021-09-13,stem,340.6131373333333,407.7300593333333,67.116922,2.6012503039240444,0.5040683972862768,-3.177769161776859,-2.321999510736838,2021,9
2021-09-14,root,318.702612,334.764689875,16.062077874999996,3.048520009989435,0.15121559438077567,,,2021,9
2021-09-14,stem,371.9388045,406.78074833333335,34.84194383333334,2.8418780244283433,0.2587681307305538,-3.1714966820760315,-2.6673829661522714,2021,9
2021-09-15,root,313.542675875,301.4294585,-12.113217374999998,3.0029706342989138,-0.12632938129427201,,,2021,9
2021-09-15,stem,335.92908316666666,292.709308,-43.219775166666665,2.5874335620240916,-0.3209931492177572,-2.4578177105215673,-2.2657960333219838,2021,9
2021-09-16,root,174.505372625,158.369907125,-16.13546550000001,1.6663893544067236,-0.1424180449593513,,,2021,9
2021-09-16,stem,117.27641066666666,101.52046666666666,-15.755943999999998,0.9103451312599024,-0.12163079980251545,-1.2576671806337723,-0.6498679790707409,2021,9
2021-09-17,root,120.63502025,136.75346175,16.118441500000007,1.1787171207993001,0.14888119671868588,,,2021,9
2021-09-17,stem,59.06242366666667,121.20462916666666,62.142205499999996,0.4613774819700112,0.46133782477762975,-1.3751367316482581,,2021,9
2021-09-18,root,121.7738645,148.1133965,26.339532,1.190694578034224,0.25994587952303,,,2021,9
2021-09-18,stem,112.21987966666667,180.31484799999998,68.09496833333333,0.8569629665044642,0.511082953286483,-1.7475341203408443,-0.16016902777818087,2021,9
2021-09-19,root,117.514007875,110.688816875,-6.8251909999999985,1.1553619412391676,-0.0698206853732495,,,2021,9
2021-09-19,stem,117.26316750000001,77.37734733333333,-39.88582016666667,0.9007768553441662,-0.30980031547854614,-1.1052496193610006,-0.21940931732987273,2021,9
2021-09-20,root,99.156439375,97.66193675000001,-1.494502624999996,0.9660977939832734,-0.015257969512662273,,,2021,9
2021-09-20,stem,43.504080333333334,37.364061666666665,-6.140018666666665,0.33527971644797444,-0.04511303969366624,-0.8584241544371614,,2021,9
