date,depth,SWP
2014-07-13,110,-428.74039208333335
2014-07-13,160,-1132.4966637539376
2014-07-14,20,-1730.6433492971084
2014-07-14,80,-1794.7321274434958
2014-07-14,110,-431.16298333333333
2014-07-14,160,-1114.3068983489375
2014-07-15,20,-1726.5984047534416
2014-07-15,80,-1797.6473077432374
2014-07-15,110,-434.9508645833333
2014-07-15,160,-1103.7152181783918
2014-07-16,20,-1856.337768789671
2014-07-16,80,-1822.2130029017376
2014-07-16,110,-442.67561708333335
2014-07-16,160,-1106.2051712555126
2014-07-17,20,-2040.0497142961126
2014-07-17,80,-1877.4591698655208
2014-07-17,110,-456.8827475
2014-07-17,160,-1132.4128722186624
2014-07-18,20,-2276.7148370333584
2014-07-18,80,-1963.4927535887166
2014-07-18,110,-474.5369566666667
2014-07-18,160,-1177.5426362040375
2014-07-19,20,-2480.4348149822
2014-07-19,80,-2060.0320993719956
2014-07-19,110,-502.92714666666666
2014-07-19,160,-1250.8226176142125
2014-07-20,20,-2572.8544024015
2014-07-20,80,-2113.4996104155584
2014-07-20,110,-530.0965845833333
2014-07-20,160,-1313.5861998667708
2014-07-21,20,-2384.1437855505
2014-07-21,80,-2093.5152415562125
2014-07-21,110,-539.6094604166667
2014-07-21,160,-1357.9227075768958
2014-07-22,20,-2314.9099365594752
2014-07-22,80,-2087.342500016917
2014-07-22,110,-543.9967295833334
2014-07-22,160,-1364.5083692933542
2014-07-23,20,-2309.852893095892
2014-07-23,80,-2074.4744441308417
2014-07-23,110,-546.1647075
2014-07-23,160,-1343.2768125800708
2014-07-24,20,-356.15787236560413
2014-07-24,80,-2087.7041796968374
2014-07-24,110,-546.8620670833334
2014-07-24,160,-1320.687668816429
2014-07-25,20,-135.17955166666667
2014-07-25,80,-2055.728652474129
2014-07-25,110,-544.8071220833333
2014-07-25,160,-1279.6589123199917
2014-07-26,20,-115.64644291666667
2014-07-26,80,-2000.8111452706291
2014-07-26,110,-542.2331404166666
2014-07-26,160,-1262.258840797629
2014-07-27,20,-104.2686225
2014-07-27,80,-1956.3171155896791
2014-07-27,110,-540.0240929166666
2014-07-27,160,-1229.2791467642332
2014-07-28,20,-110.13984708333334
2014-07-28,80,-1924.3192453903916
2014-07-28,110,-539.23744875
2014-07-28,160,-1194.3009119673875
2014-07-29,20,-85.69620291666666
2014-07-29,80,-1874.9286240096333
2014-07-29,110,-537.1412799999999
2014-07-29,160,-1169.7675580177333
2014-07-30,20,-57.63268083333333
2014-07-30,80,-1847.0012661772
2014-07-30,110,-535.8708775
2014-07-30,160,-1134.1781587162916
2014-07-31,20,-53.911345
2014-07-31,80,-1809.5344330075459
2014-07-31,110,-532.3032845833334
2014-07-31,160,-1090.5492814686124
2014-08-01,20,-53.912370833333334
2014-08-01,80,-1781.5261687076668
2014-08-01,110,-529.3661625
2014-08-01,160,-1052.302452464575
2014-08-02,20,-54.919389583333334
2014-08-02,80,-1733.438180930354
2014-08-02,110,-524.3351441666666
2014-08-02,160,-1013.1865884229792
2014-08-03,20,-50.91819
2014-08-03,80,-1699.4492856636416
2014-08-03,110,-517.26485375
2014-08-03,160,-984.7212605702042
2014-08-04,20,-53.162653750000004
2014-08-04,80,-1679.4538573056416
2014-08-04,110,-509.0150004166667
2014-08-04,160,-964.7188974455499
2014-08-05,20,-58.39565125
2014-08-05,80,-1659.40480433455
2014-08-05,110,-501.00357875
2014-08-05,160,-948.5864136285959
2014-08-06,20,-64.83103208333333
2014-08-06,80,-1649.4811234318918
2014-08-06,110,-492.12358083333334
2014-08-06,160,-928.5746691604459
2014-08-07,20,-73.17395583333334
2014-08-07,80,-1643.6719589008876
2014-08-07,110,-478.81712166666665
2014-08-07,160,-903.9035635498125
2014-08-08,20,-75.08994416666667
2014-08-08,80,-1647.52030073935
2014-08-08,110,-465.56139333333334
2014-08-08,160,-881.39507844045
2014-08-09,20,-41.862309583333335
2014-08-09,80,-1659.1689533021834
2014-08-09,110,-451.9148920833333
2014-08-09,160,-855.1094189721417
2014-08-10,20,-57.93636708333334
2014-08-10,80,-1662.6726568281083
2014-08-10,110,-438.22601791666665
2014-08-10,160,-829.2269619963208
2014-08-11,20,-56.33882875
2014-08-11,80,-1667.240542045579
2014-08-11,110,-423.20590458333334
2014-08-11,160,-812.5186910588042
2014-08-12,20,-55.84027291666666
2014-08-12,80,-1657.7426207674876
2014-08-12,110,-408.63427624999997
2014-08-12,160,-797.4598257703708
2014-08-13,20,-56.948849583333335
2014-08-13,80,-1634.0978227734458
2014-08-13,110,-393.83413041666665
2014-08-13,160,-786.1625470631875
2014-08-14,20,-58.494269583333335
2014-08-14,80,-1604.3848528339124
2014-08-14,110,-380.9584458333333
2014-08-14,160,-763.7470544793291
2014-08-15,20,-59.34179291666666
2014-08-15,80,-1564.7591491896
2014-08-15,110,-366.65495
2014-08-15,160,-735.83931141486255
2014-08-16,20,-59.86407375
2014-08-16,80,-1535.141137861675
2014-08-16,110,-352.2763708333333
2014-08-16,160,-708.609051317
2014-08-17,20,-64.711725
2014-08-17,80,-1520.2036927601
2014-08-17,110,-339.57771083333336
2014-08-17,160,-690.5670024548292
2014-08-18,20,-72.37854
2014-08-18,80,-1515.0606239168876
2014-08-18,110,-326.46050375
2014-08-18,160,-677.2982040607125
2014-08-19,20,-81.7787025
2014-08-19,80,-1505.4951679786416
2014-08-19,110,-314.88626166666666
2014-08-19,160,-671.7712685991625
2014-08-20,20,-88.83663916666667
2014-08-20,80,-1500.0314711191293
2014-08-20,110,-303.74473625
2014-08-20,160,-663.4127117129917
2014-08-21,20,-98.93848125
2014-08-21,80,-1493.9234144734542
2014-08-21,110,-293.74593166666665
2014-08-21,160,-659.0802764394666
2014-08-22,20,-114.99216708333333
2014-08-22,80,-1488.381125385729
2014-08-22,110,-287.32546875
2014-08-22,160,-657.9323673089375
2014-08-23,20,-134.55616083333334
2014-08-23,80,-1483.0199680659334
2014-08-23,110,-281.5840754166667
2014-08-23,160,-657.2754280855792
2014-08-24,20,-157.0622825
2014-08-24,80,-1472.7306368482875
2014-08-24,110,-278.39932833333336
2014-08-24,160,-662.1021338551167
2014-08-25,20,-175.52838458333335
2014-08-25,80,-1460.6247785611
2014-08-25,110,-276.93482708333335
2014-08-25,160,-666.345405952525
2014-08-26,20,-173.50086083333332
2014-08-26,80,-1461.5777634112708
2014-08-26,110,-273.94627541666665
2014-08-26,160,-662.0793860007875
2014-08-27,20,-157.54099833333333
2014-08-27,80,-1456.5256872646667
2014-08-27,110,-270.52983666666665
2014-08-27,160,-655.7862829092167
2014-08-28,20,-151.07693791666668
2014-08-28,80,-1444.2513147131376
2014-08-28,110,-269.4238608333333
2014-08-28,160,-652.7758663977542
2014-08-29,20,-149.76745958333333
2014-08-29,80,-1433.3762733579917
2014-08-29,110,-268.7040508333333
2014-08-29,160,-648.4932666468709
2014-08-30,20,-149.39902583333333
2014-08-30,80,-1425.9366329952459
2014-08-30,110,-267.04627
2014-08-30,160,-642.3428081376459
2014-08-31,20,-154.8296525
2014-08-31,80,-1417.876368482846
2014-08-31,110,-265.9021191666667
2014-08-31,160,-638.40534375
2014-09-01,20,-161.1250525
2014-09-01,80,-1409.12826723355
2014-09-01,110,-265.1542058333333
2014-09-01,160,-635.1514458333334
2014-09-02,20,-173.27319333333332
2014-09-02,80,-1390.4848241594625
2014-09-02,110,-265.44409916666666
2014-09-02,160,-633.7369433333333
2014-09-03,20,-191.90460708333333
2014-09-03,80,-1375.098524756671
2014-09-03,110,-266.49273708333334
2014-09-03,160,-635.98287375
2014-09-04,20,-211.49435583333334
2014-09-04,80,-1368.1986699512083
2014-09-04,110,-267.4959583333333
2014-09-04,160,-639.4801351988542
2014-09-05,20,-228.572695
2014-09-05,80,-1363.729266416325
2014-09-05,110,-268.1148825
2014-09-05,160,-642.5241740036499
2014-09-06,20,-251.51127458333332
2014-09-06,80,-1359.1277740684125
2014-09-06,110,-269.68000875
2014-09-06,160,-647.9473040463041
2014-09-07,20,-297.1824925
2014-09-07,80,-1362.0016184533918
2014-09-07,110,-274.43841375
2014-09-07,160,-664.386984369575
2014-09-08,20,-355.24764541666667
2014-09-08,80,-1378.3719093632208
2014-09-08,110,-280.2247008333333
2014-09-08,160,-683.0847031790709
2014-09-09,20,-409.61314125
2014-09-09,80,-1402.331251257375
2014-09-09,110,-285.0536108333333
2014-09-09,160,-708.5250837371417
2014-09-10,20,-442.52280833333333
2014-09-10,80,-1414.9873943419084
2014-09-10,110,-289.18396625
2014-09-10,160,-723.5641187636917
2014-09-11,20,-499.0745775
2014-09-11,80,-1428.5478933655374
2014-09-11,110,-295.97470416666664
2014-09-11,160,-753.253118679725
2014-09-12,20,-553.688115
2014-09-12,80,-1450.2742304844667
2014-09-12,110,-305.62585333333334
2014-09-12,160,-793.4669997121666
2014-09-13,20,-602.8377299782209
2014-09-13,80,-1478.2643233850042
2014-09-13,110,-316.11274375
2014-09-13,160,-829.1737539431833
2014-09-14,20,-698.4774947111125
2014-09-14,80,-1524.7196745817876
2014-09-14,110,-328.8954791666667
2014-09-14,160,-869.1274548640791
2014-09-15,20,-852.4694062499542
2014-09-15,80,-1564.8579882036167
2014-09-15,110,-343.2599075
2014-09-15,160,-914.1322031004291
2014-09-16,20,-1005.3680028637417
2014-09-16,80,-1611.71564515175
2014-09-16,110,-361.63209083333334
2014-09-16,160,-963.933344703225
2014-09-17,20,-1203.286317992471
2014-09-17,80,-1665.0308569679125
2014-09-17,110,-386.46475833333335
2014-09-17,160,-1013.8492679950916
2014-09-18,20,-1347.3778887932667
2014-09-18,80,-1709.4319010234792
2014-09-18,110,-411.2994054166667
2014-09-18,160,-1075.343549112825
2014-09-19,20,-1456.862755788079
2014-09-19,80,-1736.0299574160042
2014-09-19,110,-436.12312625
2014-09-19,160,-1137.7403796837584
2014-09-20,20,-1650.8269062819
2014-09-20,80,-1784.9049796078084
2014-09-20,110,-464.74251625
2014-09-20,160,-1208.6043848615125
2014-09-21,20,-1744.2292710563709
2014-09-21,80,-1817.0359670859625
2014-09-21,110,-484.67032
2014-09-21,160,-1258.4279156370167
2014-09-22,20,-1627.7300504756458
2014-09-22,80,-1806.46038038315
2014-09-22,110,-486.82081458333334
2014-09-22,160,-1248.336833385829
2014-09-23,20,-1666.9953241323667
2014-09-23,80,-1816.2035400534
2014-09-23,110,-506.6196275
2014-09-23,160,-1260.0025097389334
2014-09-24,20,-1700.9217702410417
2014-09-24,80,-1858.0389874001917
2014-09-24,110,-528.1391970833333
2014-09-24,160,-1281.6245320248124
2014-09-25,20,-1696.4343965201542
2014-09-25,80,-1892.2448953854625
2014-09-25,110,-548.86505
2014-09-25,160,-1306.9522665793293
2014-09-26,20,-1780.3618712562666
2014-09-26,80,-1929.943168045496
2014-09-26,110,-580.60832375
2014-09-26,160,-1346.6071467205124
2014-09-27,20,-1909.3990118000625
2014-09-27,80,-1955.527912372625
2014-09-27,110,-610.5788141666667
2014-09-27,160,-1415.4698442656043
2014-09-28,20,-2037.2461087649458
2014-09-28,80,-1989.0136967673875
2014-09-28,110,-638.6789337499999
2014-09-28,160,-1516.93148842875
2014-09-29,20,-2161.633824054596
2014-09-29,80,-2034.0534687404875
