date,depth,messvar_name,SWP
2018-05-30,-0.05,PsiSoil05_kPa_Avg,-9.5223429375
2018-05-30,-0.15,PsiSoil15_kPa_Avg,-10.305607291666666
2018-05-30,-0.45,PsiSoil45_kPa_Avg,-10.933904097222221
2018-05-31,-0.05,PsiSoil05_kPa_Avg,-9.532431145833334
2018-05-31,-0.15,PsiSoil15_kPa_Avg,-10.601955
2018-05-31,-0.45,PsiSoil45_kPa_Avg,-10.977368819444445
2018-06-01,-0.05,PsiSoil05_kPa_Avg,-9.518962243055556
2018-06-01,-0.15,PsiSoil15_kPa_Avg,-10.935697916666667
2018-06-01,-0.45,PsiSoil45_kPa_Avg,-11.000170208333333
2018-06-02,-0.05,PsiSoil05_kPa_Avg,-9.535735090277777
2018-06-02,-0.15,PsiSoil15_kPa_Avg,-10.712758819444444
2018-06-02,-0.45,PsiSoil45_kPa_Avg,-11.046138333333333
2018-06-03,-0.05,PsiSoil05_kPa_Avg,-9.51811675
2018-06-03,-0.15,PsiSoil15_kPa_Avg,-10.953502013888889
2018-06-03,-0.45,PsiSoil45_kPa_Avg,-11.083119722222222
2018-06-04,-0.05,PsiSoil05_kPa_Avg,-9.520077847222222
2018-06-04,-0.15,PsiSoil15_kPa_Avg,-11.387424652777778
2018-06-04,-0.45,PsiSoil45_kPa_Avg,-11.121918125
2018-06-05,-0.05,PsiSoil05_kPa_Avg,-9.534454013888888
2018-06-05,-0.15,PsiSoil15_kPa_Avg,-11.119092291666666
2018-06-05,-0.45,PsiSoil45_kPa_Avg,-11.100374791666667
2018-06-06,-0.05,PsiSoil05_kPa_Avg,-9.487982944444445
2018-06-06,-0.15,PsiSoil15_kPa_Avg,-11.38510701388889
2018-06-06,-0.45,PsiSoil45_kPa_Avg,-11.115526666666666
2018-06-07,-0.05,PsiSoil05_kPa_Avg,-9.509940138888888
2018-06-07,-0.15,PsiSoil15_kPa_Avg,-11.589033402777778
2018-06-07,-0.45,PsiSoil45_kPa_Avg,-11.124790138888889
2018-06-08,-0.05,PsiSoil05_kPa_Avg,-9.498618916666667
2018-06-08,-0.15,PsiSoil15_kPa_Avg,-10.672169375
2018-06-08,-0.45,PsiSoil45_kPa_Avg,-10.98579173611111
2018-06-09,-0.05,PsiSoil05_kPa_Avg,-9.473354076388889
2018-06-09,-0.15,PsiSoil15_kPa_Avg,-10.762678958333334
2018-06-09,-0.45,PsiSoil45_kPa_Avg,-11.029512708333334
2018-06-10,-0.05,PsiSoil05_kPa_Avg,-9.4697078958333325
2018-06-10,-0.15,PsiSoil15_kPa_Avg,-11.235441111111111
2018-06-10,-0.45,PsiSoil45_kPa_Avg,-11.106560208333333
2018-06-11,-0.05,PsiSoil05_kPa_Avg,-9.448447930555556
2018-06-11,-0.15,PsiSoil15_kPa_Avg,-12.194563194444445
2018-06-11,-0.45,PsiSoil45_kPa_Avg,-11.190862291666667
2018-06-12,-0.05,PsiSoil05_kPa_Avg,-9.47071176388889
2018-06-12,-0.15,PsiSoil15_kPa_Avg,-12.78259201388889
2018-06-12,-0.45,PsiSoil45_kPa_Avg,-11.185491041666667
2018-06-13,-0.05,PsiSoil05_kPa_Avg,-9.513418861111111
2018-06-13,-0.15,PsiSoil15_kPa_Avg,-9.86080079861111
2018-06-13,-0.45,PsiSoil45_kPa_Avg,-10.611839027777778
2018-06-14,-0.05,PsiSoil05_kPa_Avg,-9.515572743055555
2018-06-14,-0.15,PsiSoil15_kPa_Avg,-9.499216881944445
2018-06-14,-0.45,PsiSoil45_kPa_Avg,-10.637630277777777
2018-06-15,-0.05,PsiSoil05_kPa_Avg,-9.513641979166666
2018-06-15,-0.15,PsiSoil15_kPa_Avg,-9.543063555555555
2018-06-15,-0.45,PsiSoil45_kPa_Avg,-10.670731944444444
2018-06-16,-0.05,PsiSoil05_kPa_Avg,-9.492659833333333
2018-06-16,-0.15,PsiSoil15_kPa_Avg,-9.67398657638889
2018-06-16,-0.45,PsiSoil45_kPa_Avg,-10.693920694444444
2018-06-17,-0.05,PsiSoil05_kPa_Avg,-9.514507159722223
2018-06-17,-0.15,PsiSoil15_kPa_Avg,-9.847030618055555
2018-06-17,-0.45,PsiSoil45_kPa_Avg,-10.717037569444445
2018-06-18,-0.05,PsiSoil05_kPa_Avg,-9.498899618055555
2018-06-18,-0.15,PsiSoil15_kPa_Avg,-10.031324395833334
2018-06-18,-0.45,PsiSoil45_kPa_Avg,-10.734078055555555
2018-06-19,-0.05,PsiSoil05_kPa_Avg,-9.543221020833334
2018-06-19,-0.15,PsiSoil15_kPa_Avg,-10.328880277777778
2018-06-19,-0.45,PsiSoil45_kPa_Avg,-10.76694013888889
2018-06-20,-0.05,PsiSoil05_kPa_Avg,-9.795960375
2018-06-20,-0.15,PsiSoil15_kPa_Avg,-10.919919652777777
2018-06-20,-0.45,PsiSoil45_kPa_Avg,-10.795723680555556
2018-06-21,-0.05,PsiSoil05_kPa_Avg,-10.356061791666667
2018-06-21,-0.15,PsiSoil15_kPa_Avg,-12.038974027777778
2018-06-21,-0.45,PsiSoil45_kPa_Avg,-10.786233611111111
2018-06-22,-0.05,PsiSoil05_kPa_Avg,-9.508694215277778
2018-06-22,-0.15,PsiSoil15_kPa_Avg,-11.750484583333334
2018-06-22,-0.45,PsiSoil45_kPa_Avg,-10.733552569444445
2018-06-23,-0.05,PsiSoil05_kPa_Avg,-9.885404958333334
2018-06-23,-0.15,PsiSoil15_kPa_Avg,-13.322826458333333
2018-06-23,-0.45,PsiSoil45_kPa_Avg,-10.837308958333333
2018-06-24,-0.05,PsiSoil05_kPa_Avg,-10.600988958333334
2018-06-24,-0.15,PsiSoil15_kPa_Avg,-16.385394444444444
2018-06-24,-0.45,PsiSoil45_kPa_Avg,-10.928433194444445
2018-06-25,-0.05,PsiSoil05_kPa_Avg,-11.193273194444444
2018-06-25,-0.15,PsiSoil15_kPa_Avg,-19.17484027777778
2018-06-25,-0.45,PsiSoil45_kPa_Avg,-11.014235625
2018-06-26,-0.05,PsiSoil05_kPa_Avg,-11.739529166666667
2018-06-26,-0.15,PsiSoil15_kPa_Avg,-21.859346319444445
2018-06-26,-0.45,PsiSoil45_kPa_Avg,-11.103857152777778
2018-06-27,-0.05,PsiSoil05_kPa_Avg,-12.231155625
2018-06-27,-0.15,PsiSoil15_kPa_Avg,-24.494106319444445
2018-06-27,-0.45,PsiSoil45_kPa_Avg,-11.163091944444444
2018-06-28,-0.05,PsiSoil05_kPa_Avg,-13.089649513888888
2018-06-28,-0.15,PsiSoil15_kPa_Avg,-27.134939166666665
2018-06-28,-0.45,PsiSoil45_kPa_Avg,-11.341604027777779
