date,depth,messvar_name,SWC
2020-06-02,-0.8,EC1_80cm,0.302
2020-06-02,-0.8,EC2_80cm,0.45172222222222225
2020-06-02,-0.8,EC3_80cm,0.25840277777777776
2020-06-02,-0.5,EC1_50cm,0.37095833333333333
2020-06-02,-0.5,EC2_50cm,0.29143749999999996
2020-06-02,-0.5,EC3_50cm,0.3935138888888889
2020-06-02,-0.15,EC1_15cm,0.24007638888888888
2020-06-02,-0.15,EC2_15cm,0.30898611111111113
2020-06-02,-0.15,EC3_15cm,0.3414375
2020-06-03,-1.5,EC1_150cm,0.19005555555555556
2020-06-03,-1.5,EC2_150cm,0.4122847222222222
2020-06-03,-1.5,EC3_150cm,0.177
2020-06-03,-0.8,EC1_80cm,0.3019236111111111
2020-06-03,-0.8,EC2_80cm,0.45098611111111114
2020-06-03,-0.8,EC3_80cm,0.25809722222222226
2020-06-03,-0.5,EC1_50cm,0.3702152777777778
2020-06-03,-0.5,EC2_50cm,0.2911111111111111
2020-06-03,-0.5,EC3_50cm,0.3927777777777778
2020-06-03,-0.15,EC1_15cm,0.24
2020-06-03,-0.15,EC2_15cm,0.3086041666666667
2020-06-03,-0.15,EC3_15cm,0.3397638888888889
2020-06-04,-1.5,EC1_150cm,0.19
2020-06-04,-1.5,EC2_150cm,0.4090625
2020-06-04,-1.5,EC3_150cm,0.17639583333333334
2020-06-04,-0.8,EC1_80cm,0.3003958333333333
2020-06-04,-0.8,EC2_80cm,0.4506805555555556
2020-06-04,-0.8,EC3_80cm,0.2582291666666667
2020-06-04,-0.5,EC1_50cm,0.36843055555555554
2020-06-04,-0.5,EC2_50cm,0.29084027777777777
2020-06-04,-0.5,EC3_50cm,0.3923680555555556
2020-06-04,-0.15,EC1_15cm,0.24004861111111112
2020-06-04,-0.15,EC2_15cm,0.30759027777777775
2020-06-04,-0.15,EC3_15cm,0.33845833333333336
2020-06-05,-1.5,EC1_150cm,0.1903402777777778
2020-06-05,-1.5,EC2_150cm,0.4071458333333333
2020-06-05,-1.5,EC3_150cm,0.1743333333333333
2020-06-05,-0.8,EC1_80cm,0.29816666666666664
2020-06-05,-0.8,EC2_80cm,0.4552916666666667
2020-06-05,-0.8,EC3_80cm,0.25666666666666665
2020-06-05,-0.5,EC1_50cm,0.36254166666666665
2020-06-05,-0.5,EC2_50cm,0.2942638888888889
2020-06-05,-0.5,EC3_50cm,0.3985486111111111
2020-06-05,-0.15,EC1_15cm,0.2443611111111111
2020-06-05,-0.15,EC2_15cm,0.3113958333333333
2020-06-05,-0.15,EC3_15cm,0.3673611111111111
2020-06-06,-1.5,EC1_150cm,0.18977777777777777
2020-06-06,-1.5,EC2_150cm,0.4089583333333333
2020-06-06,-1.5,EC3_150cm,0.17530555555555555
2020-06-06,-0.8,EC1_80cm,0.29959722222222224
2020-06-06,-0.8,EC2_80cm,0.456
2020-06-06,-0.8,EC3_80cm,0.2578402777777778
