scen,swc_nse15,swc_rmse15,swc_cor15,swc_nse50,swc_rmse50,swc_cor50,swc_nse80,swc_rmse80,swc_cor80,swp_nse15,swp_nse50,swp_nse80,et_cor,et_nse,max_ET
1411,-6.581152485320207,0.03798376288100175,0.36329008926244954,-24.45622403254617,0.10285774895213154,0.620990545277448,-350.5676351909364,0.16449025902434197,0.5082307930527133,-5.674257071702069,-1.836497309912526,-0.34264087289258005,0.6943980086117116,-1.6092542229500197,6.231048581465531
1412,-136.99807386464326,0.16205665949879858,0.43728647099825263,-37.772510048862515,0.1269410194968444,0.5037345852345207,-462.1726980981708,0.18880227215246714,0.4770896330466822,-7.10784172336275,-2.515660092308982,-0.8714801922497271,0.6864315615099726,-0.3492941145145112,5.524566906236769
1413,-52.32967876527737,0.10074299408907413,0.5650902853353806,-1.9447109492725967,0.03498334708457614,0.6438954348785412,-48.35032343346947,0.06162837865550148,0.5876387967779736,-5.1433847499821965,-1.0191389479479938,0.08599686558746555,0.6952554581957463,-0.8801545688829775,5.944885051685587
1414,-9.887235865612405,0.0455186303809386,0.44805877929012045,-1.7316490028096316,0.033693992182520074,0.666073383182452,-92.55173364697629,0.08485191742185191,0.5536508614481667,-7.190502677290118,-1.8285723809789576,-0.9501766321654712,0.693687456831781,-1.6772036532553893,6.1213006783846025
1415,-167.44835708800576,0.17904564416027313,0.5451543986146579,-62.74381710123425,0.16276426315881162,0.6410973822024648,-657.265701889908,0.22507971381670175,0.5373308051919158,-6.898333323832434,-1.8387104468921733,-0.3365203114719486,0.6869790920408253,-0.16828779123598725,5.257184319239599
1416,-61.77025851362677,0.10929677028619789,0.31924224955030067,-0.5547235838675764,0.025419477337884473,0.4302433788223845,-66.90993442774469,0.07229402354286094,0.33819263720236703,-7.126833056127909,-2.5366845957114417,-0.8999011586402905,0.5976278438566625,0.05980000262155005,4.0269430095944445
1417,-36.2711016765955,0.08422024202853061,0.27805526659619445,-2.960932173676567,0.04057314996174219,0.5655494131994327,-96.4399143741614,0.08659726730077623,0.48060522020629004,-5.316996408765088,-78.79495455428096,-155.65161072780316,0.6995870221596622,-2.224371118462087,6.6238096082069955
1418,-14.447562298884433,0.05422010419312453,0.4192622265239267,-27.279483251673767,0.10841160099260591,0.5717970429042892,-376.426940252715,0.17043241141644414,0.4909558823872053,-7.383966121764752,-1.7585754949158332,-0.292847499526125,0.6938467999293924,-0.4066019828809475,5.3527131666531
1419,-64.62326806583062,0.11175302750465406,0.27208509235109885,-67.397108326826,0.16860051384287927,0.19483147606701795,-688.157079543883,0.23030048448211793,-0.07560044735852858,-7.45065525244129,-288.3859514052031,-615.1464253835805,0.6602650620705872,-0.49322125670284866,5.622534606330495
1420,-6.960752088252179,0.038923099805690066,0.41827069898388436,-8.65532732145873,0.06334663120786876,0.4847732454306682,-68.31262818431854,0.07303683144749241,0.41484461723139354,-6.925753065896432,-1.8842709979326582,-0.5732271163643134,0.6970184633607075,-1.644700638323818,5.825962995263874
