scen,swc_nse15,rmse_nse15,swc_nse50,rmse_nse50,swc_nse80,rmse_nse80,swc_nse150,rmse_nse150,swp_nse15,swp_nse50,swp_nse80,swp_nse150,et_cor,et_nse,max_ET,ann_ET
24,-5.978271552929779,0.03281117995698422,-3.6327703244254677,0.03498791476936072,-2.070350657122153,0.04536649360108477,-1.913287397224177,0.06657998637475789,-9.063462765917773,-0.3326416221865731,-0.23971789109007924,-1.418892603702306,0.7120638493734358,-1.3329508404662436,6.344334195892687,486.89503244687666
25,-256.95209970300675,0.19948830931239675,-46.07669135323575,0.11153229556396813,-5.709246876990276,0.06706224857290902,0.3851955793811215,0.03058584812274388,-2051.7527891422556,-39.05934111266733,-47.86274825583169,-0.010015990432021615,0.6853931872433571,-0.747648615891928,5.188730357573838,438.1139319841034
26,-32.069809180448026,0.07142722214858786,-203.81815258966563,0.2326386651136673,-50.07967855653673,0.1850398648326672,-18.193267916981934,0.17089387587870658,-95.76602615642003,-724.7632233026435,-1436.2030566450708,-2550.453634996036,0.6709374415735202,-5.048191010808679,8.32694475253167,622.4842089233312
27,-169.1220409605062,0.16200492153442764,-20.631951254648733,0.0756041304372376,-0.38989192725157373,0.030523317975957774,0.27288665526446143,0.033262362675065466,-6.30750527125385,-1.5638946378613117,-0.2723315121792427,-0.0017678311871776042,0.6668132135308302,-0.0037073627901771378,5.26706778981481,338.50042466740786
28,-182.1928302743007,0.1681133305491475,-17.903406660048656,0.07067530860209124,-2.545354956441512,0.04874960331142452,-0.6017330130344936,0.049368178116654504,-1347.5635189123157,-172.07279754213448,-428.8508345981532,-1389.5073488659837,0.675576147391648,-2.6934558660731107,6.659431685312834,544.4535464075302
29,-12.269879704156084,0.045246126867448735,-66.71875978393524,0.13376798118152955,-10.346505527380325,0.08721120541117801,-1.6798771084142903,0.06385714186602008,-6.199670078580333,-1.5608161517193269,-0.14409705767929126,0.05091219455923546,0.6920110609456503,-0.7830357568518342,6.015010756693404,445.9228115479738
30,-86.53726604482858,0.11621024192691333,-11.6412443175932,0.05779530865426846,-14.266146828001636,0.10115932953355039,-8.293218366870803,0.11891458044600837,-5.957497517295692,-1.4169493637726753,-0.09098661036706979,-0.004913549207687273,0.6837618114226365,0.18441460071077964,4.907216779648311,338.49175263470283
31,-70.10857184280847,0.10473911358640689,-78.50985871304914,0.14494664444278604,-13.099687945749698,0.09721784169562173,-3.439537363690623,0.08219036225322152,-6.777528721485106,-1.9440976011425808,-0.4633293548196631,-0.0018285516137657165,0.6815261839300867,-0.2277618414937479,5.478532537607334,384.763823093447
32,-44.033784996968286,0.08335221418572525,-156.41774084128335,0.20395037707077177,-35.58400176715341,0.15659822293182313,-11.966798215300653,0.1404650936814398,-89.58876686239768,-9.410898299486567,-20.053439771609266,-2.5569732764269104,0.6728477480067689,-1.8891901752660107,6.786676816339163,506.99231867829997
33,-37.74096688559245,0.07730954971157367,-143.24954157418026,0.19523374979360728,-32.34606105741165,0.14950767755974348,-8.302583373548547,0.118974481945019,-702.9678077259586,-204.0969523327712,-412.75005519313487,-12.187966245045962,0.6393598881387791,-5.576085042674106,8.015371739347477,646.3204950346442
34,-188.34508760584032,0.17091293693939533,-23.864255390562246,0.0810560440028301,-4.333201612533322,0.0597909185764161,-5.359602099835774,0.09837098248016007,-71.64669008897692,-1.5756386132275928,-0.36066356210851347,-0.03745918247313251,0.6697297832788208,-1.9284216392647306,6.854743986084612,494.11362892605536
35,-135.22515106804113,0.14496947464662743,-26.56274717759515,0.08534123544570116,-4.4664119522731776,0.06053302862965174,-1.3578212459286902,0.05989733160959338,-48.927261442436176,-19.41492641710511,-25.97979695971024,-5.25019355271633,0.705342740216743,-2.12946651469062,6.205551476547077,531.9127824238104
36,-164.62590054134506,0.15984977978088144,-100.24621097972539,0.1635637520780621,-19.69789284821956,0.11778887988526299,-2.6276760426333,0.07429614589296435,-1887.1565742075302,-46.391392220706784,-93.99348529684474,0.013921589910509846,0.5711807250073979,-6.351580234430943,8.618415344379814,637.0463755805604
37,-206.81236089729282,0.17905382547329146,-41.36034709095849,0.10579799317469621,-6.056984160550448,0.06877819847581212,-3.7174117898987324,0.08472350827223334,-158.67338293868457,-182.1725115285299,-368.0942376592243,-215.6460644771252,0.6452104336174529,-5.5791361202931915,7.743191717523515,649.7193912521645
38,-18.47390745449208,0.054811850797794534,-1.6455725290918908,0.026439760147834765,-2.491919394465431,0.04838083168653663,-7.081994803279114,0.11089483531965562,-81.90674851496809,-7.851989106721721,-13.104389744374998,-0.11127305516866581,0.6939411749056604,-2.064569254576297,7.325555987452505,513.2498046305823
39,-34.084773936501065,0.07357110132235192,-199.3200921780484,0.230069967205959,-49.09491340346652,0.18324749216948022,-18.012174657857056,0.1700857520252559,-140.8452112692779,-688.532076913773,-1360.8992170023314,-1831.89637329509,0.674314117586471,-4.389482103335558,7.60895053333522,605.1160239419135
40,-171.63377763076366,0.16319648594016825,-217.24001735485004,0.24014020036294667,-54.502882961286076,0.19288524000320262,-17.55868716562465,0.16804502609406743,-684.5492305943466,-437.5804552094817,-880.7828988815043,-439.47272022484316,0.5647711758000368,-6.874959995337196,9.173843108777803,653.9777640578086
41,-210.32386458997678,0.18056026693095964,-216.35947937503198,0.23965526114566163,-54.20998075734356,0.1923756156137334,-16.365537618713933,0.16255343583878903,-4597.1502035783105,-0.9836545837066082,-0.3439166044460449,-0.3659515934677873,0.67872045606232,-0.16878618637235143,5.036389049412522,386.20279814451544
42,-193.8709424082255,0.17338896679540472,-33.68758112091075,0.09573807324908015,-5.0246468923866185,0.06354875163625243,-1.2799877636473962,0.058900406896979667,-838.823311264443,-218.4656812364144,-388.245461147831,-146.0623477577988,0.6632027909058911,-4.2362929126767455,7.445656913310482,597.4756827055511
43,-5.242255230724718,0.031032636685773593,-137.56004421120676,0.19134480758653863,-29.872335470430617,0.14385533314819499,-10.185881550467423,0.1304629351346534,-7.423709416363396,-2.2608282503941908,-0.659472608760105,-0.041613304853440836,0.6423170999275728,-0.14135316776684403,5.517636541287806,354.92984457820177
44,-10.787590648029147,0.04264424587892406,-53.84684365455319,0.12038530980993961,-7.219217008713672,0.07422606682531352,-1.277158453492675,0.058863849847490574,-8.046273502247711,-0.639468722756229,0.0023136564091505996,-0.8099066885923152,0.7053104998880249,-1.6610754067742497,6.77113893631427,501.0786446188914
45,-77.23703103671221,0.10986366850837755,-13.93551863740776,0.06282143158665532,-0.42326468665895534,0.030887592692858037,-0.163599057495442,0.04207786707065967,-6.9353821065081815,-1.8049607870754278,-0.34023059212034745,0.08192347244872478,0.6940545988478171,-0.11628246682967136,5.2070575714959055,383.708297883525
46,-51.05417974677217,0.08961397045200797,-30.287424733167683,0.09092484802364224,-2.33256592017647,0.047264013656126,0.054948879574739595,0.037920991803659064,-20.078804246501917,-1.8524445708882733,-0.3648231348841655,0.022927515221956463,0.6801838161952503,-0.6205871202194908,6.04352809661013,417.88190099827546
47,-93.79614781329356,0.12093256396637828,-88.60835829367069,0.15387637094724843,-16.10074937180033,0.10706531417385974,-4.1479910914480635,0.08850563660683904,-29.856622795478355,-1.0564630903949341,0.10329037195422408,-0.030230957233636557,0.683251476354221,-1.6942791772267034,6.979768075697352,495.31411082125874
48,-55.56907441472961,0.09341948147538996,-233.78577736611734,0.24907696628110934,-59.9692999965629,0.20216074488736052,-21.06968879352981,0.18325259845083378,-28.1214497454672,-74.72548271398948,-216.9490439581128,-611.1008359828357,0.6876959807367196,-3.4075793059296737,7.38731710766052,574.7532927243179
49,-357.6269416759352,0.2352173605401433,-149.80861249489993,0.199623077685695,-32.717739086018135,0.1503385812807326,-9.325136599181976,0.1253429581080424,-46250.704064312195,-421.0438680297101,-167.91994927440726,-0.1046159634367625,0.6150890963352291,-3.420807704507201,7.4340241383318055,529.5663377836927
50,-26.836389638545587,0.06553214287133181,-56.85208602250994,0.12363948475417501,-9.009857428592936,0.08191344110987722,-0.6544806364791778,0.050174480116196594,-40.6862660641531,-2.7031535880343367,-5.274259045466256,-0.041452580446409204,0.6686150202501037,-3.480280260099202,7.1630995732668366,585.1855270916575
51,-36.32005807241709,0.07587855843188836,-36.3488443922347,0.09934276862054482,-6.516767581401435,0.07098339806811413,-3.424689187190727,0.08205280297476243,-188.684808841334,-435.63582844688017,-857.4401622358229,-764.9411853555353,0.6777972116528007,-5.539740736744905,8.361965652469584,645.4741110744965
52,-104.39484130711129,0.1275139188820792,-51.836772342681094,0.11815873011114277,-9.24888796188323,0.08288569769206462,-1.9414471642651416,0.06690099281645286,-145.37257110398303,-38.54054193795594,-83.0269110788723,-13.497389449937021,0.6365170747526251,-7.58088730587011,8.81707407786828,727.2833027541512
53,-17.392281902227346,0.05326791810669702,-15.203669269753156,0.06543413415197205,0.12031280251135312,0.024283168894989656,0.3164009932758697,0.032251710173184296,-47.85241017205653,-1.9746520394867781,-0.5024136009986035,0.00668536541067577,0.686645638469892,-1.9871727986975616,7.2952297003954145,508.1235460434398
54,-8.544289892684795,0.03837246749837229,-156.5285905938273,0.204022172886589,-35.590675328433385,0.15661250540682967,-11.273181242942824,0.1366565998109165,-5.8830288009643485,-1.164716281317197,0.017221825518180633,-0.3283689750861398,0.6597972638173478,-1.1465002743598869,6.807185890501785,448.88130437118946
55,-41.04421184005845,0.0805380339767745,-3.9014791092358836,0.035988293433485655,-5.480830927379144,0.06591079811688134,-4.9694262844236,0.09530558109234671,-258.7295678072117,-10.655478235837064,-12.051503461126764,-10.054141283003414,0.6748461827486233,-5.427513875201508,7.84027992173249,671.7299265194437
56,-38.03684213554657,0.07760420516887911,-137.21342444910596,0.1911053250476061,-30.06723882621425,0.1443087127461916,-8.070651607317433,0.11748198616890415,-119.43485514523202,-1.3069516399152654,-0.8512252509569156,0.06858712232105546,0.6839703821879561,-2.2397940923832707,7.196608765901075,510.39932061308656
57,-23.5126596918764,0.06149547125507626,-86.5062616741123,0.1520607892647421,-15.463574557407693,0.10505175015213895,-4.773286905526542,0.09372676059822756,-6.6282738501617615,-1.5965042644816507,-0.1754903438013684,-0.0021872603422521397,0.6644695588859978,0.04085093267466655,4.9671967524924945,334.2377491862982
58,-2.9718566090362097,0.024753960673138693,-22.608589598841768,0.07898283100562749,-1.5199385048262988,0.04109946759538274,0.15875859952293936,0.03577769486046216,-6.816200509799991,-1.762957064079854,-0.26713264909542467,0.07114145341829092,0.6777182690604303,-1.0064492598474124,6.9184049583832135,431.4717852308879
59,-27.084690590731324,0.06582376776764232,-107.24622459539762,0.16912353744046074,-21.160275187968917,0.12187897672949605,-6.324756724767977,0.1055719733532145,-7.225039858784367,-2.191713786539902,-0.5976381026192255,-0.05696414251963544,0.6614469047074087,-0.628704722597214,6.18747103675396,423.7427285877272
60,-231.27944381468276,0.18930117284406156,-122.35891971659335,0.18054395573077056,-25.516019254018698,0.1333200253520382,-7.780213621839151,0.11558582524875947,-47.01103076138944,-1.8411872630452333,-3.7890574029587887,-4.301942577400525,0.6813309532447676,-1.4348739619778996,6.409516367682753,477.14480029929814
61,-30.236636775622305,0.06941927117745675,-47.67829049537469,0.11341365165706421,-9.007118349309051,0.0819022330201422,-2.6525716454750903,0.07455064557461163,-292.84480158260584,-3029.0096701373336,-1895.2844991099396,-2769.8944201775,0.6808595871743249,-5.181717464604685,8.15718806636622,639.4104811379717
62,-18.19827876986323,0.054422572021628784,-20.49653904391595,0.07536712467083519,-0.7689674961011506,0.03443508435794037,0.4801862864153681,0.028123923197696025,-6.907295518476669,-2.1820668678962587,-0.6129663412157531,-0.0018769752653589045,0.6962758051024316,-0.22100265709763378,4.678761232844579,385.485814351426
63,-22.9122058310493,0.06073761525156987,-22.794278619996582,0.07929283509781866,-3.1013304047042993,0.05243286678165774,-1.9096137525903556,0.06653799457441137,-15.639489586388166,-17.139130101399783,-37.210527100396135,-33.27695321610543,0.7039406381135032,-3.4813465907488608,6.950518611290258,577.7250175028033
64,-100.42965715253447,0.12509224729465115,-46.204542706210376,0.111683643142167,-5.955316100670196,0.06828096666708089,-1.4679526431589593,0.061280238634578696,-489.34812614352137,-3.442940392381349,-6.103085925924709,-0.09802792554299278,0.5950644431106641,-5.627389277951894,8.523350525278278,602.8870908401568
65,-25.69556611526682,0.06417523734315429,-85.2859491420415,0.1509967901392427,-15.479475450245282,0.10510246858752065,-3.577043039293744,0.08345349606366073,-156.00457798419083,-0.8867079698493372,-1.0433901058303365,-0.29529330409186794,0.6716830351910775,-2.8107860648678447,7.313709166452913,553.2717197907068
66,-23.556615597208193,0.061550583153226215,-75.19088233420278,0.14188914652240522,-12.546879542701271,0.09529296922182148,-1.927496792681331,0.06674215893818301,-5.5307306441638735,-1.3529757052045515,-0.06390837644617631,0.024766034177933216,0.683908845191546,-0.35537091066623105,5.439155070669379,392.11136640562313
67,-11.291669449129232,0.043546509770589485,-14.780768326556622,0.0645746033140799,-0.9046958097503972,0.03573172952619665,-6.621158334842028,0.10768681423141321,-5.977425063415784,-1.622144256566604,-0.18914897153058785,-0.06088691704515514,0.7043683891659716,-1.9809219471728166,6.36722561631637,532.8185065246621
68,-253.03792827998817,0.19796900356130911,-125.00713084670927,0.18247158158565205,-26.54547011722019,0.13588337313569285,-7.494421638747397,0.11368913025480709,-1.3332738171198473e47,-76.21607392581674,-158.42713634912272,-2.528104374211186,0.588648455314075,-3.3132302949900474,6.960852025205829,511.01145680469966
69,-12.694897102283537,0.045965004050946924,-2.510704845401142,0.030457540770833635,-6.515779582318786,0.07097873290878351,-10.603958762971343,0.13287862493992322,-8.473081690244932,-1.9173330804224982,-0.37726051323403587,-0.052187582841541014,0.705355540135763,-1.4710442490371132,6.698119753211666,490.9557657296179
70,-71.57055501810909,0.10581034690911723,-46.16135456174411,0.11163254093043773,-5.700232336823389,0.06701718103072492,-0.07334429793212616,0.04041304399370065,-107.04409389448143,-0.6909499272729829,-0.188598548103041,-0.4897522212550547,0.674329164197186,-2.2324109164088344,6.374722586388793,507.08875215402844
71,-113.07335679367874,0.1326600103230922,-295.9667003970057,0.2801247949688159,-79.69139834690539,0.23257061727678538,-28.95725107422756,0.21350252546138174,-181.74154004673963,-1706.2062803517165,-3305.668711968111,-0.5458761387946565,0.6509513195414042,-1.137254849990137,5.980201110418517,425.7686003649226
72,-29.591753345845714,0.06869895018305293,-13.850379193486123,0.06264211990557214,-8.299568729490495,0.07895372578570191,-19.5903226684477,0.1770042169483245,-11.105386191689451,-16.31293568751609,-32.57889336009107,-14.844442467180079,0.7158194194675398,-4.666219045449672,7.670586001641906,645.8502507077021
73,-5.215989143849106,0.0309672784812471,-50.02456561640261,0.11611473436419681,-6.31937645869218,0.0700451818545825,0.2713959479698631,0.03329644199632505,-7.4602620254306355,-1.7289747108327806,-0.2600008818956374,-0.026243043315087533,0.6973189492275462,-0.8673836041654746,6.095634053488013,458.8957431335869
74,-81.39561512044679,0.11274569449274088,-26.482412748996392,0.08521677683958519,-11.345174675969682,0.09096825090257096,-19.868699950891152,0.17819673166608224,-6.8844801622563905,-2.132799867595395,-0.514526630689583,-0.2136791355855605,0.6736951994872324,-0.5659562838679066,5.986612999855941,411.19695099861787
75,-8.914459000215498,0.03910951466568682,-126.28100294263312,0.18339161256815756,-26.658771374109808,0.13616254712961626,-3.0919250466258044,0.07890706174130653,-6.251144559448148,-1.7873115085159146,-0.32954126489917757,-0.1040539526895321,0.6582884821796646,-0.08248756544139013,5.169610312098169,343.75757769451025
76,-43.44896317016122,0.08280922753421115,-87.281499168515,0.1527328742374311,-16.76189529057144,0.10911535688902409,-5.724530690213447,0.10115399204727245,-377.6382675638858,-1069.6081917713414,-2114.5461781190074,-4297.941742284256,0.6357792466469302,-6.552698867454299,8.135568431355601,669.2409899492528
77,-170.30889878194068,0.16256905366185212,-25.37130144476695,0.08347635098981171,-0.9490341256042465,0.03614522614997926,0.0036880445837081943,0.03893585427105032,-6.720726268829831,-1.9398919140261346,-0.5094106982567126,-0.04993776614878298,0.6413784294946533,0.025460140351727834,4.943239701731865,330.84772911003233
78,-44.27648617634762,0.08357651798192127,-18.387566076399466,0.07157466440242356,-18.51538876874394,0.11437466325005036,-20.434673958866952,0.18059697758959847,-6.90465821262488,-2.166204999236674,-0.6577238833706613,-0.11334568301685555,0.6956777858052752,-0.06330581496920051,5.240686800934683,374.87935226100467
79,-62.41637307662678,0.09891191633799519,-154.8137710052729,0.20290866529394755,-34.637431176252285,0.15455904318242658,-12.369313020278241,0.14262858798549888,-6.938944690964887,-1.8032855669598336,-0.35050787285526996,0.031124207539659277,0.6259110755314605,-0.22854722865874288,5.4073997126439535,348.8243163384452
80,-49.95124702711151,0.08865950962175348,-17.66972024830021,0.07023710134317983,-0.4090861436310431,0.030733356722690695,-1.0001973565675675,0.05516815517581509,-7.353768412291009,-2.163632490472503,-0.6101154809276197,-0.14116269298955353,0.6555897070645643,0.18391898056231826,4.645012112337846,317.7461840503175
81,-165.05036902629803,0.16005448139074585,-224.2909236598022,0.24398859304825768,-56.658674595264785,0.19659549070198148,-13.13329329688831,0.14664718226640547,-94.70881703806127,-1.0593907196328378,-0.41191583963673106,-0.05160243290318656,0.6467157327092656,-2.069510246450116,6.645333487171223,504.2134243953928
82,-245.50614434694225,0.19501220388479643,-125.21258085974496,0.1826202776157264,-27.124592541638336,0.13730436512154712,-5.444856947831098,0.09902815275686676,-207.38256890317373,-110.36345942963766,-223.30672210040638,-5.469444060378533,0.6628885880992841,-3.168958327475652,7.05871785821828,558.6957859164445
83,-242.83160393663454,0.19395139772415476,-76.95594618930971,0.14352326266388596,-13.286589177751729,0.09786006568701267,0.05782054107852186,0.03786333402208847,-66.6299245610448,-2.1322140914331698,-0.5724410678591867,-0.1330122493982846,0.6555226573099404,-0.19669243293052863,5.336421215883052,377.54114046135214
84,-41.5161672175187,0.0809888009487762,-107.08309205296825,0.16899605052207717,-18.57366060894726,0.11454529408908348,0.18139504688132257,0.03529305240071711,-6.690770411225156,-1.8735598809531453,-0.5327417643126726,-0.1906471782708994,0.6758573676488864,-0.13652227580496978,5.548307513235626,372.4220962533718
85,-64.26676266638239,0.10034458744549922,-20.08995360739555,0.07465097547729506,-0.7401877980166431,0.03415381992448982,0.3654778724922977,0.031072444627150222,-14.412195131723871,-1.5545134444508055,-0.3359128008839676,0.09794622019462518,0.6998283568596169,-1.7260807901384183,6.439718157361729,493.46703033765556
86,-216.3480281216827,0.18311577871809487,-131.53254232756146,0.18713668819334228,-29.084656379819354,0.14200830784299162,-10.104934490405574,0.12999002801633613,-1435.3764095886604,-819.2976765546421,-1605.281736759146,-2866.5049502174056,0.6619898195984758,-3.657567783024481,7.5739121386274775,572.641084222214
87,-41.83764422431046,0.0812944141744183,-177.44661022994867,0.2171459962154473,-41.943731296260424,0.16966455137615394,-14.603717056856288,0.15408702500025653,-6.285572749858032,-1.6622874000625845,-0.23717304169207498,0.01777674978806265,0.6516778965564831,0.05876176500193442,5.065271946769245,318.60983945609104
88,-81.55304690918008,0.11285335365571264,-101.54688896995525,0.16461102516228035,-19.688320519333338,0.11776163932752753,-6.205455924826969,0.10470870052932915,-509.0963030757488,-222.55081712432658,-446.87071710784784,-107.39733774449809,0.6805599363629287,-3.2030331587531977,7.773639772462504,546.7903199019488
89,-143.33763950373202,0.14922366947180857,-81.0217151470491,0.1472184016084954,-12.814042649095157,0.09622803577318355,-2.7178781693800436,0.07521416076893477,-944.5244057382538,-21.13064916641258,-0.17470835317643707,0.17256684968488833,0.6218758533580481,-4.820744433486046,8.14116040215888,591.3683390839319
90,-25.651519518378844,0.06412227222255251,-29.68160554846914,0.09004025494350305,-23.9679095226089,0.12936962392575407,-23.835243505615843,0.19439551826350362,-30.70340643580467,-1.6237590855978725,-0.23731838154248108,-0.026043164123655815,0.7008244942394075,-2.6239355635170734,6.195252464311379,555.9811769418785
91,-44.23867454264402,0.08354161217305936,-198.61286883508023,0.22966348097954636,-48.50724474519862,0.18216947352573637,-16.820722367121334,0.1646700771733782,-439.5178058352277,-1033.454969574051,-2037.8223233533688,-1720.4048130974147,0.6181413859772302,-6.021742325074554,8.391807389946534,643.0206347625443
92,-10.785754485479071,0.042640924385197426,-41.01631845634733,0.10536749928455443,-4.257872973247237,0.05936715943260612,-0.16504168404572828,0.0421039429963574,-23.885657487302648,-5.444200044060592,-1.7091460283250295,-0.04241995959152822,0.6747356349213058,-3.1971831767792773,7.071352036532698,574.130812696169
93,-66.60933546693728,0.1021295103229943,-244.19352173781755,0.2545377323147279,-62.75139858571448,0.20672170729712144,-20.477979941616695,0.18077932193742496,-14.048354209604303,-10.056103728381718,-20.220993574267485,-5.637965876545168,0.6984056310499642,-1.3454114525857026,6.67440890685523,487.28913849194345
