scen,twd_pd_cor,twd_md_cor,min_pd_psi,min_md_psi,plfl_mean,plfl_max
1008,-0.6570036068862671,-0.6757009979471921,-1152.0986911388609,-1152.0986911388609,0.22621957968810893,1.763947913403542
1009,-0.6732713858957076,-0.7205744321115184,-1050.897652783025,-1050.897652783025,0.23479211948838713,1.4683899790131205
1010,-0.6655030609803173,-0.7000646718150212,-1031.2878133102856,-1031.2878133102856,0.2584726122338571,1.983757184587141
1011,-0.662681389328405,-0.7104547713141055,-1052.8418376611578,-1052.8418376611585,0.328344406149707,2.3985677872516984
1012,-0.6880610905028854,-0.7246345874322603,-949.9044488769802,-949.9044494332242,0.27108478979116024,1.761635169110845
1013,-0.6720259540454836,-0.6956981052815597,-1158.9038067574083,-1158.904072111501,0.27457464387136515,2.019392467760009
1014,-0.6052103769192538,-0.7211180738692571,-1719.0538082628004,-1729.5123172610793,0.5761943100176857,2.7477591236818886
1015,-0.6736353593709073,-0.7140009225502563,-1114.9870226686503,-1114.9870226686503,0.2913874294985665,2.145921520316925
1016,-0.6523699661418177,-0.6720060375010949,-1318.3418068048545,-1318.3418068048545,0.226783900109142,1.8112287634137587
1017,-0.6926550375354245,-0.7199059293874843,-881.8460639696232,-881.8460639696237,0.20373925566471265,1.0961479586306337
1018,-0.6382404895841521,-0.6420262730465048,-1762.0985037281073,-1762.3082540523649,0.24920282304230917,1.7318009285007423
1019,-0.6577940556505558,-0.697498619024033,-1334.606302184898,-1334.606302184898,0.26808062483261197,2.1134923172852997
1020,-0.6503160793967969,-0.6868858073082356,-1497.7685087021698,-1498.0681452292085,0.2993282098143911,2.5737376290198317
1021,-0.669806050076016,-0.7003540806913381,-865.998417304142,-865.998417304142,0.22384102802764536,1.651249968643627
1022,-0.6663010179080572,-0.6959166616406844,-983.40911883987,-983.4091188398703,0.2759768173489545,2.1937930502115086
1023,-0.6861491484057946,-0.739111841186082,-734.1608898919885,-734.1608898919885,0.2576523607018455,1.549667845457307
1024,-0.6340580719235879,-0.6590888842931634,-1876.896752502916,-1876.896752502916,0.3348672322157928,2.912504893670103
1025,-0.6841063177579642,-0.7139213485780249,-1012.9043166793668,-1012.9043977737875,0.25928107223973473,1.7397501236442856
1026,-0.6367777244743058,-0.6600684507614549,-1719.2550407880656,-1719.2550407880663,0.3424579825296811,2.91250749911876
1027,-0.6327111656421043,-0.6923903358920452,-1633.0196202853167,-1636.5694938222382,0.42183755102649834,2.8997046811017504
1028,-0.6763978139232405,-0.7181817492555191,-798.8147223955091,-798.8147223955091,0.23152914417149045,1.6758368489396334
1029,-0.6501325966369347,-0.6799850178859751,-1578.5943943076893,-1578.5943943076893,0.2620624731583914,2.3500728729844083
1030,-0.674838339051744,-0.7093885725780348,-759.1216216216228,-759.1216216216228,0.17394980959029757,1.2503958349925304
1031,-0.6411122682336065,-0.6684797626310182,-1771.4171532524463,-1771.4171532524463,0.2943715658306177,2.6512590094009303
1032,-0.6661651592832002,-0.6991540055627045,-1022.9557389347366,-1022.9557389347366,0.27132159250000193,2.113448365660096
1033,-0.6549414517497378,-0.6844171262982858,-1145.6874917448154,-1145.6874917448154,0.3097421393557139,2.637836595083188
1034,-0.6444043476967619,-0.676198189378284,-1674.117428345464,-1674.117428345464,0.2673344765574933,2.521026811747795
1035,-0.6368900991096978,-0.6589421623467957,-1855.587199009647,-1855.587199009647,0.3172549715553268,2.912192728282374
1036,-0.642118420911794,-0.6673246009686107,-1668.2963609023136,-1668.2963609023136,0.32963359107811935,2.9120736223773576
1037,-0.6304298501931699,-0.6359762870955374,-1691.4021179947263,-1691.5380482850733,0.2820439182058055,1.9179531608923257
1038,-0.636557482390108,-0.6623759481734807,-1505.7454111326717,-1505.7454111326717,0.33222629957560335,2.8292838625522125
1039,-0.6903553232878864,-0.7246908437697807,-952.9027306361439,-952.9034501825051,0.19539980299783166,1.1061593196996036
