scen,twd_pd_cor,lwp_pd_cor,twd_md_cor,lwp_md_cor,min_pd_psi,min_md_psi,plfl_mean,plfl_max
3247,-0.7231756113929623,0.6286230606658499,-0.7732317124149648,0.7930006831459733,-1287.1016276843109,-1287.1016276843109,0.32021643115490833,2.1857710073291083
3248,-0.6844777655095713,0.598597830915518,-0.7519736849122735,0.7690275956130722,-620.8713532964922,-620.8713532964922,0.3018505622950191,1.2841609377267156
3249,-0.6638933270400216,0.587823750710703,-0.7188449791272797,0.7352067657248756,-592.6103646833021,-592.6103646833021,0.11431742593809034,1.0025506887094677
3250,-0.7394070832594353,0.6372908556194226,-0.7780751137637208,0.8027996342892725,-1925.9259259259259,-1925.9259259259259,0.6050813146043547,3.7444330407290516
3251,-0.5780795783338951,0.4996640513926083,-0.6232751892649949,0.6357523153919709,-288.36844171137034,-288.36844171137034,0.024162329174107957,0.1852870652155145
3252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3253,-0.7595059430911634,0.6763451001299396,-0.7716237799315266,0.7992082163345106,-3327.9444246093726,-3327.946481398548,0.27798715702836774,2.4851405158794604
3254,-0.7521273677490837,0.6518621095981215,-0.7981092469127756,0.8207186815145362,-2106.5777364509663,-2171.4755266624134,0.2817222775735708,1.4929149710041842
3255,-0.7454122270376321,0.6927816237914479,-0.7575069573639044,0.7858073122229097,-2657.149951635988,-2657.807854318898,0.1461164534477038,0.8671502147851333
3256,-0.6318178617782504,0.5582988741890549,-0.6862403370280181,0.7030809014907112,-485.3469245916833,-485.3469245916833,0.07122027074773638,0.5874411822059535
3257,-0.7549450122094657,0.6791109933726697,-0.8014717038377799,0.8233362534706623,-1565.9426666891554,-1565.9465700715766,0.20409985717214804,1.2795022718837619
3258,-0.7644255153721088,0.6722603601997444,-0.7820031673225493,0.8071290876191107,-3458.4208946262415,-3458.420894626242,0.7078049845238482,4.104994687767051
3259,-0.721237767231896,0.6306971934410714,-0.7545751386136365,0.7804215939822121,-1764.7942325022514,-1764.7942325022516,0.2802386569757543,1.9416326231669898
3260,-0.7112232918396252,0.6207774324152077,-0.7732754993819018,0.7911253047819384,-902.5659217216524,-902.5659217216524,0.4247566352936575,2.0674038999175712
3261,-0.7141693888031629,0.6235263922304352,-0.7601934862170192,0.7811551931834347,-1304.5675413022377,-1304.5675413022377,0.19171377195159317,1.7431038535419143
3262,-0.7376283319668729,0.6347856617537588,-0.7833263667836545,0.8054871879519526,-1662.0626151012955,-1662.0626151012955,0.5934093499661915,3.8816113768845883
3263,-0.6876999543645319,0.6229176507273864,-0.6793422976171863,0.7088350879738908,-1923.6079153244384,-1923.6079153244386,0.2106297898847746,1.1103724900742116
3264,-0.6996997530495478,0.6432886394055116,-0.7067272195643318,0.7337912594062028,-1356.4938535542524,-1356.4938535542524,0.14965766261113336,0.7390203189331528
3265,-0.7406426191248268,0.6781687586281832,-0.7635433931588154,0.7895340207453106,-1773.3937648026392,-1773.9267763534374,0.24714146476677487,1.3511893853640866
3266,-0.7467423035524996,0.6422474433637995,-0.7937475229060585,0.8152741957564673,-1998.453520533689,-2138.3565197884454,0.2997384821732779,1.7656262953622825
3267,-0.7200053695772423,0.6296283455095506,-0.7328099428375103,0.7596276823416972,-2177.696078431374,-2177.696078431374,0.41351724631184544,3.249969678133351
3268,-0.7421187531451203,0.6309174881119666,-0.7851404223390726,0.8037339481758896,-2278.0937703113764,-2366.494784950996,0.837572180704104,4.051590657339518
3269,-0.7544810735506414,0.6489395502869391,-0.7912379049118308,0.8155463360008655,-2781.605113636375,-2781.605113636375,0.8212775434674479,4.044801309737569
3270,-0.6914229163130342,0.6135547676019566,-0.7177140331688933,0.744084770908488,-1461.8249534450656,-1461.8249534450656,0.10834108784777544,0.8464406302948424
3271,-0.5418961975804707,0.4745382759074632,-0.6139877734221629,0.6232698643402247,-245.8221024258766,-245.8221024258766,0.057075762029174824,0.21770665082407492
3272,-0.7394294562930713,0.6374579389382783,-0.7818511384101465,0.8051633531675835,-1791.5934153747842,-1791.5934153747842,0.579515138894345,3.7661145969233587
3273,-0.7475959804156943,0.6464950793825525,-0.7861385728652767,0.8116314372304709,-2243.2533733133455,-2243.2533733133455,0.661764144959137,3.965743624962849
3274,-0.7386164725624784,0.636444305948701,-0.7842205416655207,0.8057414415239685,-1621.5788641037843,-1621.5788641037843,0.5421144663817791,3.5728916653456215
3275,-0.7108130982697701,0.6199477233864601,-0.768988672650974,0.7868536254083336,-980.0310398344574,-980.0310398344574,0.3920188916039508,2.2993381853350514
