scen,swc_nse15,rmse_nse15,swc_nse50,rmse_nse50,swc_nse80,rmse_nse80,swp_nse15,swp_nse50,swp_nse80,et_cor,et_nse,max_ET
7394,-47.124819400025224,0.09570065858825427,-32.33816573096133,0.11770932626610833,-418.8690326770442,0.17975983588220135,-6.351542835146161,-1.868586222490693,-0.386433374274485,0.5217468764116119,-0.8082330257095889,6.454914228147096
7395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7396,-4.15178680659325,0.03131189207596887,-92.13381458603779,0.19674047650946433,-874.1593315891894,0.25952506267069614,-0.7971276947070178,-0.4760852749500806,-5.850320553970756,0.6875948877920297,-0.09698381660296196,5.5355141292416405
7397,-58.00612987855518,0.10596902428456544,-41.6172891546467,0.13308617213161497,-769.8170657918433,0.2435630485713283,-7.702569127871373,-2.6110661332966214,-120.99493706240892,0.6248593964195919,-7.903274811097274,9.551614257048673
7398,-131.85389587033114,0.15900746627973236,-217.5662241988497,0.30139188047335264,-1716.3779247529396,0.36355379187992765,-6.290963726227438,-6.816180634061548,-23.78924417298399,0.6344905923422195,-3.932702016343958,7.353257588235505
7399,-82.55401038935591,0.12609969032503934,-203.55192678785485,0.29156931106890516,-1640.917989792987,0.35547697128906713,-5.614621432372766,-7228.301373831095,-977.0615568180995,0.6319109652249565,-2.4325228068114617,6.406001412089532
7400,-6.747891127239778,0.038399195434934356,-26.704161202014447,0.107303163532819,-368.0587391075581,0.16853243182684394,-14.665020944813987,-27.673124324899515,-58.92240179632717,0.6698433208447443,-3.409143729984791,6.974214700146736
7401,-44.65833528776775,0.09321598791007882,-116.54317141107894,0.221023639209287,-1044.215127393231,0.28362113062182387,-4.764831840352302,-426.9072775700259,-845.5974553920067,0.6672920805539787,-3.6416536734320584,6.658562062255223
7402,-112.9791773690881,0.14727978083283302,-139.04411935604858,0.2412528551510271,-1197.4443973339046,0.30369992547894487,-5.853503034088267,-1.5687713038581972,-0.552504598270023,0.6988673461050483,-1.3408640274081551,6.645088498780764
7403,-17.865690222230857,0.05991929841204775,-82.52577190539817,0.18631605167693818,-802.587637336238,0.24868658811989733,-4.8597984037907,-120.7735799098962,-239.51881913609816,0.6229134606936819,-4.585832435200464,8.120048565041028
