ψ_kPa_100mm,ψ_kPa_200mm,ψ_kPa_400mm,ψ_kPa_600mm,ψ_kPa_800mm,ψ_kPa_1000mm,ψ_kPa_1200mm,date,ψ_kPa_eff,RWU,AET,ks
-736.8937030798305,-555.220454198042,-477.4148525293943,-419.52139891732435,-364.24754660973235,-338.51635276518874,-304.05187990266495,2024-08-29,-434.4714801527077,1.0944450453150059,1.3231567043794144,0.1
-951.3954272926076,-690.9834445210242,-613.4101757099428,-542.4538496687867,-463.2061531653162,-422.4411778929193,-361.0013499346036,2024-08-30,-531.9883072375019,1.1482601208620098,1.3441530183268102,0.1
-1189.948198153855,-825.738532500883,-771.6871518737773,-690.7008922065712,-586.4094552068461,-529.7604416187879,-436.15618556687957,2024-08-31,-644.267341060794,1.1535296642588462,1.3770756595573417,0.1
-1397.8925120632273,-900.0545515907231,-841.152812717479,-796.3567272462374,-703.7807652645172,-644.5184152848454,-524.455700113154,2024-09-01,-687.8204417902422,0.8849858203441221,1.0980911563186855,0.1
-1583.92132195326,-959.8183287638393,-872.2956270734123,-836.5388547380159,-767.3308071562948,-720.6086111765098,-601.1144053328492,2024-09-02,-710.5184707772718,0.6292070217438133,0.7567605194625363,0.1
-1697.7723425947684,-1011.7686652791998,-865.0833238965165,-844.1686276879913,-795.5267272363238,-760.1962397066344,-654.4963522252426,2024-09-03,-706.8084085723567,0.42882284449613894,0.48675221645062006,0.1
-1798.9152587603458,-1062.6638353575158,-908.6811439408735,-876.124696008874,-825.0849824950353,-792.3374027682426,-698.2892546110958,2024-09-04,-760.7086658380036,0.44573500728603815,0.48187807197221677,0.1
-1008.8823883455482,-808.7152615632912,-881.0130548860379,-868.9970830138622,-835.1219556559148,-809.5492252153385,-726.2506086197486,2024-09-05,-745.586243915422,0.26505556703915983,0.2841185328588338,0.1
-4.5758946743081825,-39.959600754581835,-457.23049374538925,-693.8516651765782,-778.3424582110249,-785.1422179909559,-730.0443918230516,2024-09-06,-336.39298315193037,0.31341211373487654,0.25514334867661165,0.1
-19.13618612897678,-103.1429845404453,-409.216208278163,-525.7262105323782,-623.8535458628238,-664.552593402436,-672.7531215904982,2024-09-07,-25.426951583332137,2.5676673279800544,0.9777899087494922,0.1
-51.08897506357123,-117.63493382921423,-354.16807000003575,-446.6885933298428,-532.0401833610663,-570.9382730773731,-604.7682920413771,2024-09-08,-51.98588868894531,0.8268342477738865,0.9239604851283314,0.1
