ψ_kPa_100mm,ψ_kPa_200mm,ψ_kPa_400mm,ψ_kPa_600mm,ψ_kPa_800mm,ψ_kPa_1000mm,ψ_kPa_1200mm,date,ψ_kPa_eff,RWU,cap
-2173.9052710930355,-1098.3651804210183,-880.1442324607681,-848.4360124389503,-774.1288030708197,-720.2560828959794,-586.702209408307,2024-08-12,-666.6461993708982,0.45357994959157055,0
-260.50531032182704,-368.3432416237234,-817.6098965220398,-832.1698715793142,-773.456375600331,-727.1311287298445,-609.9328678487603,2024-08-13,-689.0252657652393,0.352652579859309,0
-1979.554211891566,-942.1511708087749,-753.5239603706066,-743.6764732378869,-698.7422902668459,-664.5343718335804,-580.2570537120216,2024-08-14,-2042.1007285288342,1.6579921747057509,0
-1009.198159664489,-890.8548707815899,-968.826003404371,-869.1247501700888,-769.4127046396002,-718.7527161761858,-622.7835684544381,2024-08-15,-847.1274772408433,0.7645619391755414,0
-1335.2981959240492,-1074.2690774831183,-908.9567075224816,-878.9430028433603,-825.7549305226655,-785.233272126378,-681.037455689442,2024-08-16,-877.1409376853863,0.44910128276121286,0
-1603.7553958056594,-1100.8092077126676,-906.2699873075468,-883.9981635184521,-839.1672849287547,-807.7686584720572,-718.2237060859803,2024-08-17,-754.497931646616,0.2600566982355125,0
-0.0,-4.330671953478475,-191.61030738539478,-530.3894074968227,-725.900628036361,-760.9812735229945,-711.8217208371682,2024-08-18,-693.3013323233856,0.09797791008124866,0
-1.3922008167327613,-5.757173484045344,-39.28776404229066,-87.75973307793005,-219.36354598161196,-319.87921123983085,-510.02540196934586,2024-08-19,-2.385267624663112,0.28426905161190563,0
-7.413181889892011,-16.21647789285419,-45.75056169249678,-65.5292247349187,-110.00620476412988,-142.9520105175526,-250.05214710358553,2024-08-20,-16.386588641744005,1.0450246957598206,0
-20.77562817853233,-33.033334076576814,-62.36255679163578,-75.71091692034422,-101.42058677582126,-119.33318769823059,-176.65803094602003,2024-08-21,-32.58907887727354,1.1348690838215345,0
-51.562588811390825,-59.26320674803332,-81.30012749215476,-90.53902470779488,-108.49133431222533,-120.81933806339853,-158.69899593273755,2024-08-22,-60.05511815317946,1.0069868748476827,0
-127.24139004984808,-104.57397279737947,-106.14490383059207,-110.65204889880344,-122.37801599281839,-130.79940031921652,-157.19799047569086,2024-08-23,-122.81342651376542,1.102529179302504,0
-300.0993296614074,-191.2210638514842,-146.06721179195617,-142.4188274041891,-145.8179638866663,-149.76836187778974,-165.7347042413793,2024-08-24,-219.85694613894503,1.2907812624821573,0
-420.07848084867567,-311.3665231393331,-216.7316383777195,-196.75189833651987,-185.18945995887836,-181.93720464598033,-185.24506811151414,2024-08-25,-238.18393491303783,1.3219013990696253,0
-118.04836908342284,-149.2719136707312,-233.75261681773128,-226.56873487165527,-215.2302469840682,-209.73096801936148,-205.1217647529133,2024-08-26,-222.42752482639617,0.5515778046359474,0
-316.8530381224285,-255.50521648890424,-222.95591675133554,-220.17985591421953,-217.43612677850297,-215.86959501096757,-213.29434388878735,2024-08-27,-315.0244176250644,0.9672208531174822,0
-550.0664374487591,-446.830162887346,-315.6726433695903,-280.9049502935622,-254.11984555365666,-242.89359265074455,-229.63782206089044,2024-08-28,-355.8697755303318,1.284149639965288,0
-710.6964279225443,-543.4100823048145,-467.78298497282714,-394.02034590569065,-329.3238891774403,-300.6359121115602,-264.8520987426033,2024-08-29,-412.9464234743613,1.3219769317266272,0
-1011.8765454714003,-774.9204640264074,-605.6021579314655,-519.9343565232163,-425.98991449579313,-379.46790051891475,-315.98832368547767,2024-08-30,-543.09621815775,1.3435213610251853,0
-1235.4275844571498,-887.630632836494,-843.3802065349032,-712.8980644693379,-564.4765016600746,-489.83000118641104,-386.56265381849767,2024-08-31,-661.8457207158476,1.360560538026962,0
-1445.3474722668652,-926.3039033678181,-813.377583247482,-780.5222472235215,-675.0941104661621,-601.0773294970992,-467.6192809129731,2024-09-01,-619.96731340808,0.7773211424978584,0
-1629.5291795775502,-993.6011695903178,-920.8239206518286,-837.7658069014363,-726.8018184570011,-661.5371069250342,-529.2199205923547,2024-09-02,-713.5025536159872,0.712323825765179,0
-1745.4715473841738,-1047.600736521632,-870.5580219677836,-831.0645765902012,-756.6005785290147,-703.3382755392128,-577.5588778275044,2024-09-03,-649.7184008871686,0.4028734415983296,0
-1846.4109674568822,-1082.4592840560374,-892.1959403893877,-858.0367254571539,-785.078369610355,-736.2758471523061,-620.3481194721188,2024-09-04,-703.8657470112304,0.4403732936858259,0
-1028.9869203453775,-814.5674270601384,-867.4488724409026,-848.9154609832865,-793.8484548492548,-753.5270861255019,-648.3391490611618,2024-09-05,-702.928544958182,0.28478321520424155,0
-4.547372712375345,-38.546915591251015,-444.088585881172,-673.2942666080748,-738.2498530352105,-730.8228405136588,-653.4595456986902,2024-09-06,-445.23786558759775,0.26215245794853603,0
-13.62189437974753,-57.07556119814644,-274.9296003844091,-408.8837210925547,-532.3906787393736,-582.9978126110242,-592.9054258253074,2024-09-07,-19.054335321376513,0.977789908749492,0
