 

stn;time;rka150d0
VSSIE;20150613;2.0
VSSIE;20150614;0.2
VSSIE;20150615;0.8
VSSIE;20150616;0.8
VSSIE;20150617;0.0
VSSIE;20150618;1.3
VSSIE;20150619;6.3
VSSIE;20150620;0.0
VSSIE;20150621;0.0
VSSIE;20150622;0.0
VSSIE;20150623;4.8
VSSIE;20150624;0.0
VSSIE;20150625;0.0
VSSIE;20150626;0.0
VSSIE;20150627;0.0
VSSIE;20150628;0.0
VSSIE;20150629;0.0
VSSIE;20150630;0.0
VSSIE;20150701;0.0
VSSIE;20150702;0.0
VSSIE;20150703;0.0
VSSIE;20150704;0.0
VSSIE;20150705;0.3
VSSIE;20150706;0.0
VSSIE;20150707;2.1
VSSIE;20150708;0.0
VSSIE;20150709;0.0
VSSIE;20150710;0.0
VSSIE;20150711;0.0
VSSIE;20150712;0.0
VSSIE;20150713;0.0
VSSIE;20150714;0.0
VSSIE;20150715;0.0
VSSIE;20150716;0.0
VSSIE;20150717;0.6
VSSIE;20150718;5.8
VSSIE;20150719;0.2
VSSIE;20150720;0.0
VSSIE;20150721;0.0
VSSIE;20150722;1.8
VSSIE;20150723;0.1
VSSIE;20150724;5.8
VSSIE;20150725;4.8
VSSIE;20150726;6.1
VSSIE;20150727;1.1
VSSIE;20150728;0.0
VSSIE;20150729;2.0
VSSIE;20150730;0.0
VSSIE;20150731;0.0
VSSIE;20150801;11.8
VSSIE;20150802;0.0
VSSIE;20150803;0.0
VSSIE;20150804;0.3
VSSIE;20150805;0.0
VSSIE;20150806;0.0
VSSIE;20150807;0.0
VSSIE;20150808;1.2
VSSIE;20150809;13.7
VSSIE;20150810;8.4
VSSIE;20150811;0.0
VSSIE;20150812;0.0
VSSIE;20150813;0.0
VSSIE;20150814;23.8
VSSIE;20150815;13.7
VSSIE;20150816;1.5
VSSIE;20150817;0.0
VSSIE;20150818;2.5
VSSIE;20150819;0.1
VSSIE;20150820;0.0
VSSIE;20150821;0.0
VSSIE;20150822;0.0
VSSIE;20150823;0.4
VSSIE;20150824;6.7
VSSIE;20150825;0.0
VSSIE;20150826;0.0
VSSIE;20150827;0.0
VSSIE;20150828;0.0
VSSIE;20150829;0.0
VSSIE;20150830;0.0
VSSIE;20150831;0.0
VSSIE;20150901;2.0
VSSIE;20150902;0.0
VSSIE;20150903;0.0
VSSIE;20150904;0.0
VSSIE;20150905;0.0
VSSIE;20150906;0.0
