station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SRE;25.08.1902 00:00;3.5;;
SRE;26.08.1902 00:00;0;;
SRE;27.08.1902 00:00;0;;
SRE;28.08.1902 00:00;0;;
SRE;29.08.1902 00:00;0;;
SRE;30.08.1902 00:00;0;;
SRE;31.08.1902 00:00;1.8;;
SRE;01.09.1902 00:00;0;;
SRE;02.09.1902 00:00;0;;
SRE;03.09.1902 00:00;0;;
SRE;04.09.1902 00:00;0;;
SRE;05.09.1902 00:00;8;;
SRE;06.09.1902 00:00;1.6;;
SRE;07.09.1902 00:00;0;;
SRE;08.09.1902 00:00;0;;
SRE;09.09.1902 00:00;0;;
SRE;10.09.1902 00:00;5.2;;
SRE;11.09.1902 00:00;0;;
SRE;12.09.1902 00:00;4.7;;
SRE;13.09.1902 00:00;0.3;;
SRE;14.09.1902 00:00;0;;
SRE;15.09.1902 00:00;0;;
SRE;16.09.1902 00:00;0;;
SRE;17.09.1902 00:00;0;;
SRE;18.09.1902 00:00;0;;
SRE;19.09.1902 00:00;0;;
SRE;20.09.1902 00:00;0;;
SRE;21.09.1902 00:00;0;;
SRE;22.09.1902 00:00;0;;
SRE;23.09.1902 00:00;0;;
SRE;24.09.1902 00:00;0;;
SRE;25.09.1902 00:00;0;;
SRE;26.09.1902 00:00;0;;
SRE;27.09.1902 00:00;0;;
SRE;28.09.1902 00:00;5.2;;
SRE;29.09.1902 00:00;0;;
SRE;30.09.1902 00:00;24;;
SRE;01.10.1902 00:00;0;;
SRE;02.10.1902 00:00;4.2;;
SRE;03.10.1902 00:00;0;;
SRE;04.10.1902 00:00;0;;
SRE;05.10.1902 00:00;4;;
SRE;06.10.1902 00:00;2.9;;
SRE;07.10.1902 00:00;0;;
SRE;08.10.1902 00:00;0.2;;
SRE;09.10.1902 00:00;0;;
SRE;10.10.1902 00:00;0.9;;
SRE;11.10.1902 00:00;13;;
SRE;12.10.1902 00:00;0;;
SRE;13.10.1902 00:00;0;;
SRE;14.10.1902 00:00;1;;
SRE;15.10.1902 00:00;0;;
SRE;16.10.1902 00:00;9.2;;
SRE;17.10.1902 00:00;0;;
SRE;18.10.1902 00:00;0;;
SRE;19.10.1902 00:00;0;;
SRE;20.10.1902 00:00;0;;
SRE;21.10.1902 00:00;0;;
SRE;22.10.1902 00:00;0;;
SRE;23.10.1902 00:00;0;;
SRE;24.10.1902 00:00;0;;
SRE;25.10.1902 00:00;0;;
SRE;26.10.1902 00:00;0;;
SRE;27.10.1902 00:00;0;;
SRE;28.10.1902 00:00;0;;
SRE;29.10.1902 00:00;0;;
SRE;30.10.1902 00:00;0;;
SRE;31.10.1902 00:00;0;;
SRE;01.11.1902 00:00;0;;
SRE;02.11.1902 00:00;0;;
SRE;03.11.1902 00:00;0;;
SRE;04.11.1902 00:00;0;;
SRE;05.11.1902 00:00;0;;
SRE;06.11.1902 00:00;0;;
SRE;07.11.1902 00:00;0;;
SRE;08.11.1902 00:00;0;;
SRE;09.11.1902 00:00;5.6;;
SRE;10.11.1902 00:00;0;;
SRE;11.11.1902 00:00;0;;
SRE;12.11.1902 00:00;0;;
SRE;13.11.1902 00:00;0;;
SRE;14.11.1902 00:00;0;;
